Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
25000.0,26690.0,28133.43,25000.0,364426.91,23850.0,0.01,0.01,0.01,365.79,Nanite Repair Paste,28668,jita,2025-11-02 09:07:54
25000.0,26700.0,28158.26,25000.0,365781.82,23850.0,0.01,0.01,0.01,365.79,Nanite Repair Paste,28668,jita,2025-11-02 09:19:09
25000.0,26700.0,28191.51,25000.0,367589.96,23850.0,0.01,0.01,0.01,365.79,Nanite Repair Paste,28668,jita,2025-11-02 10:19:04
25000.0,26680.0,28006.59,25000.0,355454.27,23850.0,0.01,0.01,0.01,365.79,Nanite Repair Paste,28668,jita,2025-11-02 10:58:16
25000.0,26680.0,28006.59,25000.0,355454.27,23850.0,0.01,0.01,0.01,365.79,Nanite Repair Paste,28668,jita,2025-11-02 11:10:19
25000.0,26680.0,28023.2,25440.0,356380.22,23850.0,0.01,0.01,0.01,365.79,Nanite Repair Paste,28668,jita,2025-11-02 11:15:57
25410.0,26650.0,27921.02,25420.0,349403.83,23850.0,0.01,0.01,0.01,365.71,Nanite Repair Paste,28668,jita,2025-11-02 12:35:00
25420.0,26650.0,27920.27,25420.0,349337.23,23850.0,0.01,0.01,0.01,365.71,Nanite Repair Paste,28668,jita,2025-11-02 13:24:21
25410.0,26000.0,27793.48,25410.0,340801.92,23850.0,0.01,0.01,0.01,365.71,Nanite Repair Paste,28668,jita,2025-11-02 14:17:33
25410.0,26000.0,27831.18,25410.0,343366.37,23860.0,0.01,0.01,0.01,369.19,Nanite Repair Paste,28668,jita,2025-11-02 15:19:00
25410.0,26650.0,27910.41,25420.0,348682.84,25410.0,0.01,0.01,0.01,369.19,Nanite Repair Paste,28668,jita,2025-11-02 16:21:35
25390.0,26500.0,27883.6,25400.0,346908.7,25340.0,0.01,0.01,0.01,369.29,Nanite Repair Paste,28668,jita,2025-11-02 17:17:42
25390.0,26500.0,27897.82,25420.0,347850.69,25340.0,0.01,0.01,0.01,369.21,Nanite Repair Paste,28668,jita,2025-11-02 18:24:23
25410.0,26400.0,27862.39,25410.0,345472.34,25340.0,0.01,0.01,0.01,369.21,Nanite Repair Paste,28668,jita,2025-11-02 19:16:18
25390.0,26400.0,27856.97,25410.0,345114.96,25340.0,0.01,0.01,0.01,372.36,Nanite Repair Paste,28668,jita,2025-11-02 20:20:24
25350.0,25940.0,27497.19,25350.0,320230.36,25340.0,0.01,0.01,0.01,369.4,Nanite Repair Paste,28668,jita,2025-11-02 21:17:45
25360.0,25940.0,27471.31,25360.0,318354.18,25340.0,0.01,0.01,0.01,369.22,Nanite Repair Paste,28668,jita,2025-11-02 22:18:14
