Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
351600.0,400000.0,389951.2,351700.0,27981.57,133900.0,132600.0,117692.22,133900.0,26377.61,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 09:07:55
351600.0,400000.0,389983.26,351800.0,27970.69,133900.0,132600.0,117692.22,133900.0,26377.61,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 09:19:11
351600.0,400000.0,390047.56,351800.0,27948.76,133900.0,132600.0,117692.22,133900.0,26377.61,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 10:19:05
351600.0,400000.0,390071.73,351900.0,27940.48,133900.0,132600.0,117692.22,133900.0,26377.61,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 10:58:17
351600.0,400000.0,390071.73,351900.0,27940.48,133900.0,132600.0,117692.22,133900.0,26377.61,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 11:10:20
351600.0,400000.0,390128.23,351900.0,27921.03,133900.0,132600.0,117692.22,133900.0,26377.61,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 11:15:58
350400.0,400000.0,390253.5,351900.0,27881.6,133900.0,132600.0,117692.22,133900.0,26377.61,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 12:35:01
351600.0,400000.0,390286.61,351900.0,27869.49,133900.0,132600.0,117692.22,133900.0,26377.61,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 13:24:22
351700.0,400000.0,390368.27,351900.0,27840.71,133900.0,132600.0,117692.22,133900.0,26377.61,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 14:17:34
351900.0,400000.0,390737.81,351900.0,27709.45,133900.0,132600.0,117692.22,133900.0,26377.61,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 15:19:01
351900.0,400000.0,390929.08,351900.0,27639.8,133900.0,132600.0,117618.77,133900.0,26427.94,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 16:21:36
351900.0,400000.0,391164.49,351900.0,27552.16,133900.0,132600.0,117618.77,133900.0,26427.94,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 17:17:43
351700.0,400000.0,391071.2,351900.0,27587.6,133900.0,132600.0,117469.86,133900.0,26529.39,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 18:24:24
351900.0,400000.0,391419.89,351900.0,27454.67,133900.0,132600.0,117469.86,133900.0,26529.39,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 19:16:20
351900.0,400000.0,391592.01,351900.0,27387.54,133900.0,132600.0,117469.86,133900.0,26529.39,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 20:20:25
351800.0,400000.0,391738.91,351900.0,27352.89,134000.0,132600.0,117471.57,133900.0,26530.3,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 21:17:46
351800.0,400000.0,391826.46,351900.0,27317.65,134100.0,132600.0,117526.62,134100.0,26559.17,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 22:18:15
351900.0,400000.0,391887.95,351900.0,27292.74,134100.0,132600.0,117526.62,134100.0,26559.17,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-02 23:17:51
351900.0,400000.0,392099.74,351900.0,27206.25,134100.0,132600.0,117526.62,134100.0,26559.17,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 01:26:57
351900.0,400000.0,392376.17,351900.0,27091.12,134100.0,132600.0,117526.62,134100.0,26559.17,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 03:18:52
351900.0,400000.0,392457.27,351900.0,27056.63,134100.0,132600.0,117526.62,134100.0,26559.17,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 04:29:40
351900.0,400000.0,392484.38,351900.0,27045.04,134100.0,132600.0,117296.2,134100.0,26712.67,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 05:21:28
351700.0,400000.0,392062.61,351900.0,27223.13,134100.0,132600.0,117296.2,134100.0,26712.67,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 06:31:35
351700.0,400000.0,392062.61,351900.0,27223.13,134100.0,132600.0,117296.2,134100.0,26712.67,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 07:21:43
351800.0,400000.0,392151.71,351900.0,27186.02,134100.0,132600.0,117296.2,134100.0,26712.67,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 08:28:44
351800.0,400000.0,392187.41,351900.0,27171.1,134100.0,132600.0,117296.2,134100.0,26712.67,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 09:24:27
351800.0,400000.0,392196.34,351900.0,27167.36,134100.0,132600.0,117296.2,134100.0,26712.67,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 10:24:23
351800.0,400000.0,392232.12,351900.0,27152.34,134200.0,132600.0,117297.36,134100.0,26713.29,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 11:18:33
351800.0,400000.0,392267.97,351900.0,27137.25,134200.0,132600.0,117297.36,134100.0,26713.29,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 12:40:51
351800.0,400000.0,392267.97,351900.0,27137.25,134200.0,132600.0,117297.36,134100.0,26713.29,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 13:32:21
351800.0,400000.0,392348.85,351900.0,27103.01,134200.0,132600.0,117297.36,134100.0,26713.29,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 14:21:03
351800.0,400000.0,392439.1,351900.0,27064.49,134200.0,132600.0,117297.36,134100.0,26713.29,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 15:22:02
351600.0,400000.0,392061.63,351700.0,27601.82,134200.0,132600.0,117297.36,134100.0,26713.29,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 16:23:56
351600.0,400000.0,392124.85,351700.0,27576.15,134200.0,132600.0,117297.36,134100.0,26713.29,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 17:19:15
351600.0,400000.0,392188.27,351700.0,27550.23,134300.0,132600.0,117315.61,134300.0,26722.93,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 18:28:18
351500.0,400000.0,391782.97,351600.0,27714.14,134300.0,132600.0,117263.01,134300.0,26757.1,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 19:17:04
351400.0,400000.0,391834.62,351500.0,27695.4,134300.0,132600.0,117263.01,134300.0,26757.1,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 20:24:11
351500.0,400000.0,390994.26,351500.0,28016.67,134300.0,132600.0,117263.01,134300.0,26757.1,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 21:20:06
351500.0,400000.0,391080.17,351500.0,27985.06,134300.0,132600.0,117263.01,134300.0,26757.1,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 22:20:40
351300.0,400000.0,390976.01,351300.0,28040.32,134300.0,132600.0,117263.01,134300.0,26757.1,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-03 23:18:54
351300.0,400000.0,391087.98,351300.0,27998.95,134300.0,132600.0,117263.01,134300.0,26757.1,Nanofiber Internal Structure II,2605,C-J6MT,2025-11-04 01:23:41
