Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
769.9,814.3,812.68,769.9,29.84,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 09:07:57
769.8,814.3,812.19,769.8,30.44,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 09:19:14
769.7,814.3,812.15,769.8,30.48,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 10:19:07
769.6,814.3,812.02,769.7,30.62,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 10:58:20
769.6,814.3,812.02,769.7,30.62,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 11:10:23
769.6,814.3,812.02,769.7,30.62,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 11:16:00
769.6,814.3,812.04,769.8,30.61,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 12:35:04
769.6,814.3,812.04,769.8,30.61,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 13:24:24
769.6,814.3,812.27,769.8,30.53,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 14:17:36
769.6,814.3,812.27,769.8,30.53,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 15:19:04
769.6,814.3,812.27,769.8,30.53,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 16:21:38
769.6,814.3,812.27,769.8,30.53,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 17:17:47
769.6,814.3,812.27,769.8,30.53,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 18:24:27
769.6,814.3,812.27,769.8,30.53,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 19:16:23
769.6,814.3,812.27,769.8,30.53,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 20:20:27
769.6,814.3,812.27,769.8,30.53,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 21:17:49
769.5,814.3,811.65,769.5,31.17,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 22:18:18
769.5,814.3,811.66,769.5,31.18,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-02 23:17:54
769.5,814.3,811.77,769.5,31.14,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 01:26:59
769.5,814.3,811.77,769.5,31.14,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 03:18:55
769.5,814.3,811.77,769.5,31.14,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 04:29:43
769.5,814.3,811.77,769.5,31.14,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 05:21:30
769.4,814.3,811.77,769.5,31.14,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 06:31:38
769.4,814.3,811.77,769.5,31.14,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 07:21:47
769.4,814.3,811.77,769.5,31.14,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 08:28:47
769.4,814.3,811.81,769.5,31.13,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 09:24:30
769.5,814.3,811.93,769.5,31.09,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 10:24:26
769.5,814.3,812.06,769.5,31.05,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 11:18:36
769.5,814.3,812.06,769.5,31.05,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 12:40:54
769.5,814.3,812.06,769.5,31.05,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 13:32:24
769.5,814.3,812.06,769.5,31.05,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 14:21:05
769.5,814.3,812.06,769.5,31.05,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 15:22:05
769.5,814.3,812.06,769.5,31.05,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 16:23:59
769.5,814.3,812.06,769.5,31.05,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 17:19:17
769.5,814.3,811.99,769.5,31.07,389.9,86.06,86.87,86.07,23.74,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 18:28:20
769.4,814.3,811.62,769.4,31.5,86.07,86.06,86.06,86.07,0.0,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 19:17:07
769.4,814.3,811.62,769.4,31.5,86.07,86.06,86.06,86.07,0.0,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 20:24:14
769.4,814.3,811.62,769.4,31.5,86.07,86.06,86.06,86.07,0.0,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 21:20:09
769.4,814.3,811.62,769.4,31.5,86.07,86.06,86.06,86.07,0.0,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 22:20:44
769.4,814.3,811.62,769.4,31.5,86.07,86.06,86.06,86.07,0.0,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-03 23:18:57
769.3,814.3,811.62,769.3,31.5,86.07,86.06,86.06,86.07,0.0,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-04 01:23:44
769.3,814.3,811.62,769.3,31.5,86.07,86.06,86.06,86.07,0.0,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-04 03:11:46
769.2,814.3,811.59,769.2,31.54,86.07,86.06,86.06,86.07,0.0,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-04 04:23:34
769.2,814.3,811.59,769.2,31.54,86.07,86.06,86.06,86.07,0.0,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-04 05:20:45
769.2,814.3,811.59,769.2,31.54,86.07,86.06,86.06,86.07,0.0,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-04 06:30:49
769.0,814.3,811.41,769.2,31.6,86.07,86.06,86.06,86.07,0.0,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-04 07:20:32
769.0,814.3,811.41,769.2,31.6,86.07,86.06,86.06,86.07,0.0,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-04 08:28:01
769.0,814.3,811.41,769.2,31.6,86.07,86.06,86.06,86.07,0.0,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-04 09:24:20
769.0,814.3,811.41,769.2,31.6,86.07,86.06,86.06,86.07,0.0,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-04 10:25:00
769.0,814.3,811.41,769.2,31.6,86.07,86.06,86.06,86.07,0.0,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-04 11:19:04
769.0,814.3,811.41,769.2,31.6,86.07,86.06,86.06,86.07,0.0,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-04 12:42:33
769.0,814.3,811.41,769.2,31.6,86.07,86.06,86.06,86.07,0.0,Nova Fury Cruise Missile,24531,C-J6MT,2025-11-04 13:35:19
