Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
597.3,640.0,658.68,597.3,60.19,548.0,542.7,134.76,544.3,179.13,Nova Fury Cruise Missile,24531,jita,2025-10-29 18:38:09
597.3,640.0,658.68,597.3,60.19,548.0,542.7,134.76,544.3,179.13,Nova Fury Cruise Missile,24531,jita,2025-10-29 18:33:36
597.3,640.0,658.68,597.3,60.19,548.0,542.7,134.76,544.3,179.13,Nova Fury Cruise Missile,24531,jita,2025-10-29 19:17:20
597.3,640.0,658.68,597.3,60.19,548.0,542.7,134.76,544.3,179.13,Nova Fury Cruise Missile,24531,jita,2025-10-29 20:24:18
597.3,640.0,658.68,597.3,60.19,548.0,542.7,134.76,544.3,179.13,Nova Fury Cruise Missile,24531,jita,2025-10-29 21:20:13
597.3,640.0,658.68,597.3,60.19,548.0,542.7,134.76,544.3,179.13,Nova Fury Cruise Missile,24531,jita,2025-10-29 22:20:16
597.3,640.0,658.68,597.3,60.19,548.0,542.7,134.76,544.3,179.13,Nova Fury Cruise Missile,24531,jita,2025-10-29 23:20:10
597.3,640.0,658.68,597.3,60.19,548.0,542.7,134.76,544.3,179.13,Nova Fury Cruise Missile,24531,jita,2025-10-30 01:27:00
597.3,640.0,658.68,597.3,60.19,548.0,542.7,134.76,544.3,179.13,Nova Fury Cruise Missile,24531,jita,2025-10-30 03:12:56
597.3,640.0,658.68,597.3,60.19,548.0,542.7,134.76,544.3,179.13,Nova Fury Cruise Missile,24531,jita,2025-10-30 04:24:00
597.3,640.0,658.68,597.3,60.19,548.0,542.7,134.76,544.3,179.13,Nova Fury Cruise Missile,24531,jita,2025-10-30 05:20:55
597.3,640.0,658.68,597.3,60.19,548.0,542.7,134.76,544.3,179.13,Nova Fury Cruise Missile,24531,jita,2025-10-30 06:31:06
597.3,640.0,658.68,597.3,60.19,548.0,542.7,134.76,544.3,179.13,Nova Fury Cruise Missile,24531,jita,2025-10-30 07:20:19
