Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
7615.0,7619.0,7729.14,7616.0,1539.63,2161.0,34.07,210.83,2161.0,1004.37,Optical Compact Tracking Computer,6173,jita,2025-11-02 09:08:01
7616.0,7619.0,7729.31,7616.0,1540.8,2161.0,34.07,210.79,2161.0,1004.35,Optical Compact Tracking Computer,6173,jita,2025-11-02 09:19:19
7616.0,7619.0,7729.35,7616.0,1541.05,2161.0,34.07,210.7,2161.0,1004.31,Optical Compact Tracking Computer,6173,jita,2025-11-02 10:19:11
7616.0,7619.0,7729.36,7616.0,1541.13,2161.0,34.07,210.62,2161.0,1004.26,Optical Compact Tracking Computer,6173,jita,2025-11-02 10:58:25
7616.0,7619.0,7729.36,7616.0,1541.13,2161.0,34.07,210.62,2161.0,1004.26,Optical Compact Tracking Computer,6173,jita,2025-11-02 11:10:28
7616.0,7619.0,7729.39,7616.0,1541.3,2161.0,34.07,210.48,2161.0,1004.19,Optical Compact Tracking Computer,6173,jita,2025-11-02 11:16:04
7616.0,7619.0,7729.45,7616.0,1541.72,2161.0,34.07,210.35,2161.0,1004.12,Optical Compact Tracking Computer,6173,jita,2025-11-02 12:35:09
7616.0,7619.0,7729.47,7616.0,1541.88,2161.0,34.07,210.25,2161.0,1004.07,Optical Compact Tracking Computer,6173,jita,2025-11-02 13:24:28
7616.0,7619.0,7730.37,7617.0,1547.87,2161.0,34.07,210.25,2161.0,1004.07,Optical Compact Tracking Computer,6173,jita,2025-11-02 14:17:40
7616.0,7619.0,7730.4,7617.0,1548.03,2161.0,34.07,210.25,2161.0,1004.07,Optical Compact Tracking Computer,6173,jita,2025-11-02 15:19:09
7610.0,7619.0,7730.29,7617.0,1547.36,2161.0,34.07,210.25,2161.0,1004.07,Optical Compact Tracking Computer,6173,jita,2025-11-02 16:21:42
