Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
20820.0,21530.0,22290.35,20820.0,1272.65,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 09:08:02
20820.0,21530.0,22291.52,20820.0,1272.45,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 09:19:20
20820.0,21530.0,22295.66,20820.0,1271.75,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 10:19:12
20820.0,21530.0,22300.3,20820.0,1270.94,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 10:58:26
20820.0,21530.0,22300.3,20820.0,1270.94,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 11:10:29
20820.0,21530.0,22302.69,20820.0,1270.52,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 11:16:05
20820.0,21530.0,22311.11,20820.0,1269.0,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 12:35:10
20820.0,21530.0,22315.11,20820.0,1268.25,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 13:24:29
20810.0,21530.0,22233.18,20810.0,1281.52,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 14:17:41
20810.0,21530.0,22250.03,20810.0,1279.23,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 15:19:10
20810.0,21530.0,22251.71,20810.0,1278.99,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 16:21:43
20800.0,21530.0,22228.63,20800.0,1282.38,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 17:17:53
20800.0,21530.0,22230.61,20800.0,1282.11,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 18:24:32
20780.0,21530.0,22188.87,20780.0,1287.82,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 19:16:29
20780.0,21530.0,22191.93,20780.0,1287.46,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 20:20:32
20780.0,21530.0,22193.62,20780.0,1287.26,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 21:17:55
20790.0,21530.0,22228.34,20790.0,1282.69,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 22:18:23
20790.0,21530.0,22262.94,20810.0,1277.42,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-02 23:17:58
20810.0,21530.0,22285.54,20810.0,1273.67,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 01:27:04
20810.0,21530.0,22287.66,20810.0,1273.31,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 03:19:00
20800.0,21530.0,22246.16,20800.0,1280.04,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 04:29:47
20800.0,21530.0,22248.3,20800.0,1279.73,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 05:21:35
20800.0,21530.0,22248.75,20800.0,1279.66,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 06:31:43
20800.0,21530.0,22248.75,20800.0,1279.66,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 07:21:53
20800.0,21530.0,22250.33,20800.0,1279.43,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 08:28:51
20800.0,21530.0,22255.32,20800.0,1278.67,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 09:24:34
20800.0,21530.0,22255.43,20800.0,1278.65,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 10:24:32
20800.0,21530.0,22256.0,20800.0,1278.57,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 11:18:41
20800.0,21530.0,22257.26,20800.0,1278.37,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 12:40:58
20800.0,21530.0,22259.89,20800.0,1277.96,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 13:32:29
20800.0,21530.0,22260.46,20800.0,1277.87,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 14:21:10
20790.0,21530.0,22264.82,20800.0,1277.18,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 15:22:09
20800.0,21530.0,22267.25,20800.0,1276.79,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 16:24:03
20800.0,21530.0,22270.61,20800.0,1276.24,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 17:19:22
20800.0,21530.0,22270.96,20800.0,1276.18,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 18:28:25
20800.0,21530.0,22271.78,20800.0,1276.04,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 19:17:11
20800.0,21530.0,22275.39,20810.0,1275.44,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 20:24:20
20800.0,21530.0,22278.79,20810.0,1274.86,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 21:20:15
20800.0,21530.0,22284.69,20810.0,1273.83,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 22:20:49
20800.0,21530.0,22287.3,20810.0,1273.37,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-03 23:19:01
20810.0,21530.0,22289.19,20810.0,1273.04,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-04 01:23:48
20810.0,21530.0,22291.92,20810.0,1272.57,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-04 03:11:51
20800.0,21530.0,22205.72,20800.0,1285.35,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-04 04:23:39
20800.0,21530.0,22205.72,20800.0,1285.35,13510.0,0.01,0.01,0.01,969.93,Optimal Range Disruption Script,29005,jita,2025-11-04 05:20:50
