Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1682000.0,1894000.0,1888137.44,1682000.0,172901.3,1505000.0,50.0,386.14,1504000.0,548547.21,Radar ECM II,2575,jita,2025-11-02 09:08:08
1680000.0,1894000.0,1889102.75,1680000.0,173233.9,1507000.0,50.0,386.15,1505000.0,548662.58,Radar ECM II,2575,jita,2025-11-02 09:19:29
1679000.0,1894000.0,1889209.24,1680000.0,173211.33,1507000.0,50.0,385.14,1505000.0,548307.75,Radar ECM II,2575,jita,2025-11-02 10:19:19
1680000.0,1894000.0,1890074.96,1680000.0,173016.52,1507000.0,50.0,384.64,1505000.0,548130.05,Radar ECM II,2575,jita,2025-11-02 10:58:36
1680000.0,1894000.0,1890074.96,1680000.0,173016.52,1507000.0,50.0,384.64,1505000.0,548130.05,Radar ECM II,2575,jita,2025-11-02 11:10:38
1680000.0,1894000.0,1891825.82,1680000.0,172611.44,1507000.0,50.0,381.62,1505000.0,547060.0,Radar ECM II,2575,jita,2025-11-02 11:16:13
1674000.0,1894000.0,1877018.09,1676000.0,187066.88,1507000.0,50.0,377.13,1505000.0,545442.38,Radar ECM II,2575,jita,2025-11-02 12:35:19
1673000.0,1894000.0,1878585.03,1674000.0,187087.65,1508000.0,50.0,377.14,1507000.0,545504.09,Radar ECM II,2575,jita,2025-11-02 13:24:35
1674000.0,1894000.0,1889194.04,1675000.0,185792.07,1509000.0,50.0,402.6,1508000.0,554336.54,Radar ECM II,2575,jita,2025-11-02 14:17:49
1675000.0,1925000.0,1891242.47,1675000.0,187572.33,1509000.0,50.0,398.44,1508000.0,552953.72,Radar ECM II,2575,jita,2025-11-02 15:19:20
1675000.0,1925000.0,1895016.94,1676000.0,186853.14,1509000.0,50.0,397.92,1508000.0,552780.06,Radar ECM II,2575,jita,2025-11-02 16:21:50
1674000.0,1924000.0,1890109.22,1674000.0,187796.78,1509000.0,50.0,396.38,1508000.0,552258.04,Radar ECM II,2575,jita,2025-11-02 17:18:02
1672000.0,1894000.0,1885183.59,1673000.0,188703.0,1509000.0,50.0,394.83,1508000.0,551734.41,Radar ECM II,2575,jita,2025-11-02 18:24:40
1672000.0,1894000.0,1876099.89,1672000.0,189954.26,1509000.0,50.0,394.32,1508000.0,551559.51,Radar ECM II,2575,jita,2025-11-02 19:16:38
