Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
591900000.0,699000000.0,666241393.82,591900000.0,44277273.65,420300000.0,420000000.0,303290246.6,420300000.0,115055736.49,Raven Navy Issue,17636,C-J6MT,2025-11-02 09:08:11
591900000.0,699000000.0,666241393.82,591900000.0,44277273.65,420300000.0,420000000.0,303290246.6,420300000.0,115055736.49,Raven Navy Issue,17636,C-J6MT,2025-11-02 09:19:33
591900000.0,699000000.0,666241393.82,591900000.0,44277273.65,420300000.0,420000000.0,303290246.6,420300000.0,115055736.49,Raven Navy Issue,17636,C-J6MT,2025-11-02 10:19:21
591900000.0,699000000.0,666241393.82,591900000.0,44277273.65,420300000.0,420000000.0,303290246.6,420300000.0,115055736.49,Raven Navy Issue,17636,C-J6MT,2025-11-02 10:58:39
591900000.0,699000000.0,666241393.82,591900000.0,44277273.65,420300000.0,420000000.0,303290246.6,420300000.0,115055736.49,Raven Navy Issue,17636,C-J6MT,2025-11-02 11:10:42
591900000.0,699000000.0,666241393.82,591900000.0,44277273.65,420300000.0,420000000.0,303290246.6,420300000.0,115055736.49,Raven Navy Issue,17636,C-J6MT,2025-11-02 11:16:16
591900000.0,699000000.0,666241393.82,591900000.0,44277273.65,420300000.0,420000000.0,303290246.6,420300000.0,115055736.49,Raven Navy Issue,17636,C-J6MT,2025-11-02 12:35:23
591900000.0,699000000.0,666241393.82,591900000.0,44277273.65,420300000.0,420000000.0,303290246.6,420300000.0,115055736.49,Raven Navy Issue,17636,C-J6MT,2025-11-02 13:24:38
591800000.0,699000000.0,666237703.35,591800000.0,44282982.21,420300000.0,420000000.0,303290246.6,420300000.0,115055736.49,Raven Navy Issue,17636,C-J6MT,2025-11-02 14:17:52
591800000.0,699000000.0,666237703.35,591800000.0,44282982.21,420300000.0,420000000.0,303290246.6,420300000.0,115055736.49,Raven Navy Issue,17636,C-J6MT,2025-11-02 15:19:23
591800000.0,699000000.0,666237703.35,591800000.0,44282982.21,420300000.0,420000000.0,303290246.6,420300000.0,115055736.49,Raven Navy Issue,17636,C-J6MT,2025-11-02 16:21:52
591600000.0,699000000.0,665166584.48,591600000.0,45309511.66,420300000.0,420000000.0,303290246.6,420300000.0,115055736.49,Raven Navy Issue,17636,C-J6MT,2025-11-02 17:18:06
