Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
490.7,869.9,696.88,490.7,204.83,200.9,0.01,0.02,108.1,16.94,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 09:08:13
488.6,869.9,696.31,488.6,205.29,200.9,0.01,0.02,108.1,16.94,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 09:19:36
488.6,869.9,696.31,488.6,205.29,200.9,0.01,0.02,108.1,16.94,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 10:19:24
488.6,869.9,696.31,488.6,205.29,200.9,0.01,0.02,108.1,16.92,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 10:58:43
488.6,869.9,696.31,488.6,205.29,200.9,0.01,0.02,108.1,16.92,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 11:10:45
488.6,869.9,696.31,488.6,205.29,200.9,0.01,0.02,108.1,16.92,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 11:16:19
488.6,869.9,696.31,488.6,205.29,200.9,0.01,0.02,108.1,16.92,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 12:35:26
488.6,869.9,696.31,488.6,205.29,200.9,0.01,0.02,108.1,16.92,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 13:24:41
488.6,869.9,696.31,488.6,205.29,200.9,0.01,0.02,108.1,16.92,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 14:17:55
488.6,869.9,696.33,488.6,205.29,200.9,0.01,0.02,108.1,16.87,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 15:19:27
488.6,869.9,696.33,488.6,205.29,200.9,0.01,0.02,108.1,16.87,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 16:21:55
488.5,869.9,696.16,488.6,205.32,200.9,0.01,0.02,108.1,16.87,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 17:18:09
488.5,869.9,696.16,488.6,205.32,200.9,0.01,0.02,108.1,16.87,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 18:24:45
488.5,869.9,696.17,488.6,205.31,200.9,0.01,0.02,108.1,16.82,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 19:16:45
488.5,869.9,696.15,488.6,205.31,200.9,0.01,0.02,108.1,16.82,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 20:20:44
488.5,869.9,696.15,488.6,205.31,200.9,0.01,0.02,108.1,16.82,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 21:18:11
488.5,869.9,696.13,488.6,205.31,200.9,0.01,0.02,108.1,16.82,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 22:18:35
488.5,869.9,696.13,488.6,205.31,200.9,0.01,0.02,108.1,16.82,Republic Fleet Carbonized Lead S,28328,jita,2025-11-02 23:18:10
488.4,869.9,696.06,488.4,205.36,200.9,0.01,0.02,108.1,16.71,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 01:27:16
488.4,869.9,696.06,488.4,205.36,200.9,0.01,0.02,108.1,16.71,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 03:19:14
488.4,869.9,696.06,488.4,205.36,200.9,0.01,0.02,108.1,16.71,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 04:29:59
488.4,869.9,695.87,488.4,205.4,200.9,0.01,0.02,108.1,16.71,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 05:21:47
488.3,869.9,695.65,488.3,205.57,200.9,0.01,0.02,108.1,16.71,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 06:31:57
488.3,869.9,695.65,488.3,205.57,200.9,0.01,0.02,108.1,16.71,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 07:22:09
488.3,869.9,695.65,488.3,205.57,200.9,0.01,0.02,108.1,16.62,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 08:29:03
488.3,869.9,695.65,488.3,205.57,201.0,0.01,0.02,108.1,16.63,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 09:24:46
488.3,869.9,695.65,488.3,205.57,201.0,0.01,0.02,108.1,16.63,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 10:24:47
488.3,869.9,695.65,488.3,205.57,201.0,0.01,0.02,108.1,16.63,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 11:18:54
488.3,869.9,695.65,488.3,205.57,201.0,0.01,0.02,108.1,16.63,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 12:41:11
488.3,869.9,695.65,488.3,205.57,201.0,0.01,0.02,108.1,16.63,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 13:32:42
488.3,869.9,695.65,488.3,205.57,201.0,0.01,0.02,108.1,16.63,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 14:21:22
488.3,869.9,695.65,488.3,205.57,201.0,0.01,0.02,108.1,16.63,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 15:22:21
488.3,869.9,696.16,488.3,205.49,201.0,0.01,0.02,108.1,16.63,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 16:24:16
488.3,869.9,696.16,488.3,205.49,201.0,0.01,0.02,108.1,16.63,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 17:19:36
488.1,869.9,695.9,488.2,205.67,201.0,0.01,0.02,108.1,16.63,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 18:28:37
488.2,869.9,696.14,488.2,205.63,201.0,0.01,0.02,108.1,16.63,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 19:17:23
488.2,869.9,696.14,488.2,205.63,201.0,0.01,0.02,108.1,16.63,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 20:24:36
488.2,869.9,696.14,488.2,205.63,201.0,0.01,0.02,108.1,16.63,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 21:20:31
488.2,869.9,696.14,488.2,205.63,201.0,0.01,0.02,108.1,16.63,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 22:21:05
488.2,869.9,696.14,488.2,205.63,201.0,0.01,0.02,108.1,16.63,Republic Fleet Carbonized Lead S,28328,jita,2025-11-03 23:19:13
488.1,869.9,696.12,488.1,205.64,201.0,0.01,0.02,108.1,16.63,Republic Fleet Carbonized Lead S,28328,jita,2025-11-04 01:24:00
488.1,869.9,696.12,488.1,205.64,201.0,0.01,0.02,108.1,16.63,Republic Fleet Carbonized Lead S,28328,jita,2025-11-04 03:12:04
488.1,869.9,699.95,488.1,205.04,201.0,0.01,0.02,108.1,16.57,Republic Fleet Carbonized Lead S,28328,jita,2025-11-04 04:23:51
488.1,869.9,699.95,488.1,205.04,201.0,0.01,0.02,108.1,16.57,Republic Fleet Carbonized Lead S,28328,jita,2025-11-04 05:21:02
488.1,869.9,699.95,488.1,205.04,201.0,0.01,0.02,108.1,16.57,Republic Fleet Carbonized Lead S,28328,jita,2025-11-04 06:31:10
488.1,869.9,699.98,488.1,205.04,201.0,0.01,0.02,108.1,16.57,Republic Fleet Carbonized Lead S,28328,jita,2025-11-04 07:20:49
488.1,869.9,700.23,488.1,205.0,201.0,0.01,0.02,108.1,16.57,Republic Fleet Carbonized Lead S,28328,jita,2025-11-04 08:28:18
488.1,869.9,700.23,488.1,205.0,201.0,0.01,0.02,108.1,16.57,Republic Fleet Carbonized Lead S,28328,jita,2025-11-04 09:24:42
488.1,869.9,700.46,488.1,204.96,201.0,0.01,0.02,108.1,16.57,Republic Fleet Carbonized Lead S,28328,jita,2025-11-04 10:25:22
488.1,869.9,700.46,488.1,204.96,201.0,0.01,0.02,108.1,16.57,Republic Fleet Carbonized Lead S,28328,jita,2025-11-04 11:19:20
488.1,869.9,700.42,488.1,204.96,201.0,0.01,0.02,108.1,16.57,Republic Fleet Carbonized Lead S,28328,jita,2025-11-04 12:42:49
488.1,869.9,705.09,488.1,204.09,201.0,0.01,0.02,108.1,16.57,Republic Fleet Carbonized Lead S,28328,jita,2025-11-04 13:35:35
488.1,869.9,705.09,488.1,204.09,201.0,0.01,0.02,108.1,16.57,Republic Fleet Carbonized Lead S,28328,jita,2025-11-04 14:22:12
