Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
703.9,754.0,747.49,703.9,23.13,152.1,150.0,145.86,152.1,13.33,Republic Fleet EMP S,21898,C-J6MT,2025-10-29 18:39:02
703.9,754.0,747.49,703.9,23.13,152.1,150.0,145.86,152.1,13.33,Republic Fleet EMP S,21898,C-J6MT,2025-10-29 18:33:56
703.9,754.0,747.49,703.9,23.13,152.1,150.0,145.86,152.1,13.33,Republic Fleet EMP S,21898,C-J6MT,2025-10-29 19:17:41
703.9,754.0,747.49,703.9,23.13,152.1,150.0,145.86,152.1,13.33,Republic Fleet EMP S,21898,C-J6MT,2025-10-29 20:24:44
703.9,754.0,747.49,703.9,23.13,152.1,150.0,145.86,152.1,13.33,Republic Fleet EMP S,21898,C-J6MT,2025-10-29 21:20:39
703.9,754.0,747.49,703.9,23.13,152.1,150.0,145.86,152.1,13.33,Republic Fleet EMP S,21898,C-J6MT,2025-10-29 22:20:37
703.9,754.0,747.49,703.9,23.13,152.1,150.0,145.86,152.1,13.33,Republic Fleet EMP S,21898,C-J6MT,2025-10-29 23:20:31
703.9,754.0,747.49,703.9,23.13,152.1,150.0,145.86,152.1,13.33,Republic Fleet EMP S,21898,C-J6MT,2025-10-30 01:27:26
703.9,754.0,747.49,703.9,23.13,152.1,150.0,145.86,152.1,13.33,Republic Fleet EMP S,21898,C-J6MT,2025-10-30 03:13:15
703.9,754.0,747.49,703.9,23.13,152.1,150.0,145.86,152.1,13.33,Republic Fleet EMP S,21898,C-J6MT,2025-10-30 04:24:22
703.9,754.0,747.49,703.9,23.13,152.1,150.0,145.86,152.1,13.33,Republic Fleet EMP S,21898,C-J6MT,2025-10-30 05:21:17
703.9,754.0,747.49,703.9,23.13,152.1,150.0,145.86,152.1,13.33,Republic Fleet EMP S,21898,C-J6MT,2025-10-30 06:31:33
703.9,754.0,747.49,703.9,23.13,152.1,150.0,145.86,152.1,13.33,Republic Fleet EMP S,21898,C-J6MT,2025-10-30 07:20:40
703.9,754.0,747.49,703.9,23.13,152.1,150.0,145.86,152.1,13.33,Republic Fleet EMP S,21898,C-J6MT,2025-10-30 08:27:37
703.9,754.0,747.49,703.9,23.13,152.1,150.0,145.86,152.1,13.33,Republic Fleet EMP S,21898,C-J6MT,2025-10-30 09:23:42
703.9,754.0,747.49,703.9,23.13,152.1,150.0,145.86,152.1,13.33,Republic Fleet EMP S,21898,C-J6MT,2025-10-30 10:23:07
703.9,754.0,747.49,703.9,23.13,152.1,150.0,145.86,152.1,13.33,Republic Fleet EMP S,21898,C-J6MT,2025-10-30 11:19:03
