Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
31830000.0,33720000.0,33372080.1,31830000.0,1097306.34,29150000.0,27580000.0,21797496.75,29150000.0,5348173.1,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 09:08:19
31830000.0,33720000.0,33380356.0,31840000.0,1094332.29,29150000.0,27580000.0,21797496.75,29150000.0,5348173.1,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 09:19:43
31980000.0,34010000.0,33606893.4,31980000.0,991434.52,29150000.0,27580000.0,21797496.75,29150000.0,5348173.1,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 10:19:29
31970000.0,34010000.0,33531549.52,31970000.0,1027876.97,29150000.0,27580000.0,21797496.75,29150000.0,5348173.1,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 10:58:50
31970000.0,34010000.0,33531549.52,31970000.0,1027876.97,29150000.0,27580000.0,21797496.75,29150000.0,5348173.1,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 11:10:52
31970000.0,34010000.0,33538927.86,31970000.0,1024630.54,29150000.0,27580000.0,21797496.75,29150000.0,5348173.1,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 11:16:25
30180000.0,34010000.0,33510807.48,31970000.0,1059543.97,29150000.0,27580000.0,21797496.75,29150000.0,5348173.1,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 12:35:33
31960000.0,33940000.0,33455716.54,31960000.0,1058491.12,29230000.0,27580000.0,22486790.52,29230000.0,5112364.87,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 13:24:46
31960000.0,34010000.0,33505895.71,31960000.0,1039069.26,29240000.0,27580000.0,22325688.6,29240000.0,5171251.99,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 14:18:01
31960000.0,34010000.0,33555737.81,31970000.0,1017054.62,29240000.0,27580000.0,22094289.75,29240000.0,5250432.54,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 15:19:33
31980000.0,34010000.0,33658593.31,32000000.0,962948.27,29270000.0,27580000.0,22112163.07,29270000.0,5259994.82,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 16:22:00
32200000.0,34010000.0,33679327.54,32200000.0,944960.45,29270000.0,27580000.0,22082081.46,29270000.0,5270127.74,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 17:18:16
32240000.0,34010000.0,33794962.53,32240000.0,882712.89,29250000.0,27580000.0,22005768.22,29250000.0,5295694.65,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 18:24:51
32240000.0,34010000.0,33841295.26,32240000.0,853423.61,29290000.0,27580000.0,22259508.12,29290000.0,5210480.06,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 19:16:52
32240000.0,34010000.0,33888063.13,32240000.0,820282.32,29290000.0,27580000.0,22230570.92,29290000.0,5220311.35,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 20:20:49
32320000.0,34010000.0,33944070.32,32330000.0,776737.81,29300000.0,27580000.0,22235974.57,29300000.0,5223478.04,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 21:18:18
32320000.0,34010000.0,33915586.76,32330000.0,755617.79,29300000.0,27580000.0,22235974.57,29300000.0,5223478.04,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 22:18:40
32320000.0,34010000.0,33788334.03,32320000.0,827432.42,29310000.0,27580000.0,22206800.49,29300000.0,5233373.97,Republic Fleet Large Shield Extender,31932,jita,2025-11-02 23:18:15
32320000.0,34010000.0,33826183.71,32320000.0,803356.46,29320000.0,27580000.0,22542727.22,29320000.0,5118433.0,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 01:27:21
32650000.0,34010000.0,33977512.73,32960000.0,681261.95,29340000.0,27580000.0,22776799.5,29340000.0,5037820.26,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 03:19:20
33110000.0,34010000.0,33995993.19,33180000.0,671257.53,29380000.0,27580000.0,22779622.61,29380000.0,5039408.55,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 04:30:05
33180000.0,34010000.0,34008909.39,33180000.0,667978.6,29380000.0,27580000.0,22779622.61,29380000.0,5039408.55,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 05:21:53
33180000.0,34010000.0,34019162.58,33180000.0,666656.45,29380000.0,27580000.0,22729056.77,29380000.0,5057059.28,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 06:32:04
33170000.0,34010000.0,34024344.32,33180000.0,665427.76,29380000.0,27580000.0,22729056.77,29380000.0,5057059.28,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 07:22:16
33160000.0,34010000.0,34024328.58,33180000.0,665447.74,29380000.0,27580000.0,22703602.79,29380000.0,5066016.49,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 08:29:09
33180000.0,34010000.0,34034998.92,33180000.0,662671.18,29380000.0,27580000.0,22559387.46,29380000.0,5115691.11,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 09:24:51
33170000.0,34010000.0,33895579.03,33170000.0,685447.85,29400000.0,27580000.0,22652106.09,29400000.0,5084066.34,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 10:24:54
33170000.0,34010000.0,33905269.42,33170000.0,684737.16,29400000.0,27580000.0,22652106.09,29400000.0,5084066.34,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 11:19:00
33160000.0,34010000.0,33857712.28,33160000.0,687572.13,29420000.0,27580000.0,22641713.47,29420000.0,5090128.66,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 12:41:16
33120000.0,33390000.0,33670655.86,33130000.0,681933.29,29440000.0,27580000.0,22645560.48,29440000.0,5092355.28,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 13:32:48
33080000.0,33390000.0,33645492.29,33080000.0,681346.64,29460000.0,27580000.0,22646840.46,29460000.0,5093114.94,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 14:21:28
33080000.0,33390000.0,33648667.21,33080000.0,681935.44,29490000.0,27580000.0,22635212.49,29490000.0,5098538.21,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 15:22:27
32560000.0,33390000.0,33650535.46,32570000.0,691095.63,29560000.0,27580000.0,22648098.23,29560000.0,5106082.9,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 16:24:21
32570000.0,33390000.0,33660090.71,33050000.0,686521.49,29630000.0,27580000.0,22662271.04,29630000.0,5114615.69,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 17:19:42
33030000.0,33390000.0,33673081.15,33080000.0,686563.88,29640000.0,27580000.0,22781878.35,29640000.0,5076056.24,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 18:28:42
33070000.0,33390000.0,33680498.41,33080000.0,687230.84,29670000.0,27580000.0,22537043.12,29670000.0,5256026.92,Republic Fleet Large Shield Extender,31932,jita,2025-11-03 19:17:29
