Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
18250000.0,18710000.0,19364038.71,18250000.0,1985433.53,16460000.0,11400000.0,2629726.5,16460000.0,6787867.82,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 09:08:19
18250000.0,18710000.0,19376677.33,18250000.0,1992382.62,16460000.0,11400000.0,2601617.69,16460000.0,6776917.26,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 09:19:44
18270000.0,18770000.0,19425745.89,18380000.0,2018421.85,16460000.0,11400000.0,2601617.69,16460000.0,6776917.26,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 10:19:30
18250000.0,18770000.0,19385408.31,18250000.0,2033295.09,16460000.0,11400000.0,2564521.23,16460000.0,6764832.14,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 10:58:51
18250000.0,18770000.0,19385408.31,18250000.0,2033295.09,16460000.0,11400000.0,2564521.23,16460000.0,6764832.14,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 11:10:53
18240000.0,18770000.0,19363916.85,18240000.0,2053654.25,16480000.0,11400000.0,2714416.94,16480000.0,6821636.83,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 11:16:26
18110000.0,18770000.0,19365950.53,18230000.0,2058083.63,16480000.0,11400000.0,2667660.14,16480000.0,6805379.8,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 12:35:34
18070000.0,18770000.0,19352924.99,18230000.0,2072087.96,16830000.0,11400000.0,2676632.14,16830000.0,6873574.62,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 13:24:46
18240000.0,19010000.0,19476113.39,18240000.0,2138844.69,16840000.0,11400000.0,2658195.68,16830000.0,6869780.12,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 14:18:02
18260000.0,19260000.0,19585736.42,18260000.0,2193016.88,16820000.0,11400000.0,2467934.0,16820000.0,6776547.19,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 15:19:35
18260000.0,19260000.0,19618976.01,18260000.0,2208137.44,16820000.0,11400000.0,2467934.0,16820000.0,6776547.19,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 16:22:01
18260000.0,19260000.0,19656584.92,18260000.0,2224454.68,16830000.0,11400000.0,2506724.37,16830000.0,6802974.55,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 17:18:18
18240000.0,19260000.0,19627959.3,18250000.0,2264619.45,16830000.0,11400000.0,2393414.75,16830000.0,6747727.72,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 18:24:52
18260000.0,19500000.0,19938952.55,18270000.0,2432858.56,16860000.0,11400000.0,2422210.22,16860000.0,6766578.23,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 19:16:54
18350000.0,18970000.0,19690991.92,18350000.0,2611495.65,16860000.0,11400000.0,2345761.23,16850000.0,6718070.24,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 20:20:50
18350000.0,18970000.0,19717752.82,18350000.0,2628454.21,16850000.0,11400000.0,2240772.87,16850000.0,6643974.39,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 21:18:20
18320000.0,18790000.0,19692575.78,18320000.0,5435395.08,16830000.0,11400000.0,2097496.59,16830000.0,6520873.06,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 22:18:41
18320000.0,18790000.0,19716559.79,18340000.0,5476786.13,16040000.0,11400000.0,2660809.4,16040000.0,6755129.85,Republic Fleet Medium Shield Extender,31928,jita,2025-11-02 23:18:16
18270000.0,18770000.0,19611962.78,18270000.0,5377348.54,16040000.0,11400000.0,2568537.18,16040000.0,6727007.64,Republic Fleet Medium Shield Extender,31928,jita,2025-11-03 01:27:22
18270000.0,18770000.0,19577496.82,18270000.0,5325498.54,16040000.0,11400000.0,2670017.65,16040000.0,6757680.48,Republic Fleet Medium Shield Extender,31928,jita,2025-11-03 03:19:21
18260000.0,18770000.0,19596018.15,18270000.0,5358678.24,16040000.0,11400000.0,2660809.4,16040000.0,6755129.85,Republic Fleet Medium Shield Extender,31928,jita,2025-11-03 04:30:06
18270000.0,18770000.0,19608701.49,18270000.0,5381129.76,16050000.0,11400000.0,3016911.84,16050000.0,6825836.49,Republic Fleet Medium Shield Extender,31928,jita,2025-11-03 05:21:54
18260000.0,18770000.0,19597403.58,18260000.0,5361521.29,16400000.0,11400000.0,3534190.09,16400000.0,6863525.73,Republic Fleet Medium Shield Extender,31928,jita,2025-11-03 06:32:05
18270000.0,18790000.0,19679228.82,18270000.0,5503815.18,16400000.0,11400000.0,3401369.26,16390000.0,6856124.32,Republic Fleet Medium Shield Extender,31928,jita,2025-11-03 07:22:17
18270000.0,18790000.0,19689930.99,18270000.0,5522021.52,16080000.0,11400000.0,3330360.95,16080000.0,6852117.53,Republic Fleet Medium Shield Extender,31928,jita,2025-11-03 08:29:09
