Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
1425.0,1684.0,1605.17,1428.0,179.29,161.0,160.0,160.48,161.0,0.5,Republic Fleet Titanium Sabot L,21935,C-J6MT,2025-10-29 18:39:20
1425.0,1684.0,1605.17,1428.0,179.29,161.0,160.0,160.48,161.0,0.5,Republic Fleet Titanium Sabot L,21935,C-J6MT,2025-10-29 18:34:03
1425.0,1684.0,1605.17,1428.0,179.29,161.0,160.0,160.48,161.0,0.5,Republic Fleet Titanium Sabot L,21935,C-J6MT,2025-10-29 19:17:48
1425.0,1684.0,1605.17,1428.0,179.29,161.0,160.0,160.48,161.0,0.5,Republic Fleet Titanium Sabot L,21935,C-J6MT,2025-10-29 20:24:54
1425.0,1684.0,1605.17,1428.0,179.29,161.0,160.0,160.48,161.0,0.5,Republic Fleet Titanium Sabot L,21935,C-J6MT,2025-10-29 21:20:48
1425.0,1684.0,1605.17,1428.0,179.29,161.0,160.0,160.48,161.0,0.5,Republic Fleet Titanium Sabot L,21935,C-J6MT,2025-10-29 22:20:45
1425.0,1684.0,1605.17,1428.0,179.29,161.0,160.0,160.48,161.0,0.5,Republic Fleet Titanium Sabot L,21935,C-J6MT,2025-10-29 23:20:39
1425.0,1684.0,1605.17,1428.0,179.29,161.0,160.0,160.48,161.0,0.5,Republic Fleet Titanium Sabot L,21935,C-J6MT,2025-10-30 01:27:35
1425.0,1684.0,1605.17,1428.0,179.29,161.0,160.0,160.48,161.0,0.5,Republic Fleet Titanium Sabot L,21935,C-J6MT,2025-10-30 03:13:22
1425.0,1684.0,1605.17,1428.0,179.29,161.0,160.0,160.48,161.0,0.5,Republic Fleet Titanium Sabot L,21935,C-J6MT,2025-10-30 04:24:29
1425.0,1684.0,1605.17,1428.0,179.29,161.0,160.0,160.48,161.0,0.5,Republic Fleet Titanium Sabot L,21935,C-J6MT,2025-10-30 05:21:25
1425.0,1684.0,1605.17,1428.0,179.29,161.0,160.0,160.48,161.0,0.5,Republic Fleet Titanium Sabot L,21935,C-J6MT,2025-10-30 06:31:42
1425.0,1684.0,1605.17,1428.0,179.29,161.0,160.0,160.48,161.0,0.5,Republic Fleet Titanium Sabot L,21935,C-J6MT,2025-10-30 07:20:48
1425.0,1684.0,1605.17,1428.0,179.29,161.0,160.0,160.48,161.0,0.5,Republic Fleet Titanium Sabot L,21935,C-J6MT,2025-10-30 08:27:46
1425.0,1684.0,1605.17,1428.0,179.29,161.0,160.0,160.48,161.0,0.5,Republic Fleet Titanium Sabot L,21935,C-J6MT,2025-10-30 09:23:51
1425.0,1684.0,1605.17,1428.0,179.29,161.0,160.0,160.48,161.0,0.5,Republic Fleet Titanium Sabot L,21935,C-J6MT,2025-10-30 10:23:15
1425.0,1684.0,1605.17,1428.0,179.29,161.0,160.0,160.48,161.0,0.5,Republic Fleet Titanium Sabot L,21935,C-J6MT,2025-10-30 11:19:11
