Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
37.95,38.0,37.98,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 09:08:31
37.95,38.0,37.98,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 09:20:00
37.95,38.0,37.98,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 10:19:42
37.95,38.0,37.98,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 10:59:07
37.95,38.0,37.98,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 11:11:09
37.95,38.0,37.98,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 11:16:40
37.95,38.0,37.98,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 12:35:50
37.95,38.0,37.98,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 13:24:58
37.95,38.0,37.98,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 14:18:16
37.95,38.0,37.98,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 15:19:51
37.95,38.0,37.98,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 16:22:13
37.95,38.0,37.98,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 17:18:34
37.95,38.0,37.98,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 18:25:06
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 19:17:10
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 20:21:02
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 21:18:36
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 22:18:54
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-02 23:18:28
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 01:27:34
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 03:19:34
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 04:30:18
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 05:22:07
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 06:32:19
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 07:22:34
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 08:29:22
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 09:25:04
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 10:25:11
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 11:19:15
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 12:41:29
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 13:33:03
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 14:21:41
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 15:22:40
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 16:24:34
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 17:19:57
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 18:28:55
37.95,38.0,37.99,37.95,0.02,0.0,0.0,0.0,0.0,0.0,Scourge Light Missile,210,C-J6MT,2025-11-03 19:17:42
