Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
797.6,808.7,967.13,797.6,4342.85,509.6,450.1,28.3,509.6,210.12,Sensor Optimization Charge,42835,jita,2025-11-02 09:08:33
797.6,808.7,967.12,797.6,4342.85,509.6,450.1,28.3,509.6,210.12,Sensor Optimization Charge,42835,jita,2025-11-02 09:20:03
797.6,808.7,967.24,797.6,4344.18,509.6,450.1,28.3,509.6,210.12,Sensor Optimization Charge,42835,jita,2025-11-02 10:19:44
797.6,808.7,968.02,797.6,4352.69,509.6,450.1,28.3,509.6,210.12,Sensor Optimization Charge,42835,jita,2025-11-02 10:59:09
797.6,808.7,968.02,797.6,4352.69,509.6,450.1,28.3,509.6,210.12,Sensor Optimization Charge,42835,jita,2025-11-02 11:11:12
797.6,808.7,969.52,797.6,4369.05,509.6,450.1,28.3,509.6,210.12,Sensor Optimization Charge,42835,jita,2025-11-02 11:16:42
797.6,808.7,969.52,797.6,4369.05,509.6,450.1,28.3,509.6,210.12,Sensor Optimization Charge,42835,jita,2025-11-02 12:35:53
797.5,808.7,970.03,797.5,4374.7,509.6,450.1,28.3,509.6,210.12,Sensor Optimization Charge,42835,jita,2025-11-02 13:25:00
797.5,808.7,970.35,797.5,4378.1,509.6,450.1,28.3,509.6,210.12,Sensor Optimization Charge,42835,jita,2025-11-02 14:18:18
797.4,808.7,971.33,797.4,4391.41,509.6,450.1,28.3,509.6,210.12,Sensor Optimization Charge,42835,jita,2025-11-02 15:19:53
797.4,808.7,971.43,797.4,4392.79,509.6,450.1,28.3,509.6,210.12,Sensor Optimization Charge,42835,jita,2025-11-02 16:22:15
797.3,808.7,973.43,797.3,4415.4,510.1,450.1,28.31,510.1,210.29,Sensor Optimization Charge,42835,jita,2025-11-02 17:18:37
797.3,808.7,973.56,797.3,4416.79,510.1,450.1,24.33,509.6,212.0,Sensor Optimization Charge,42835,jita,2025-11-02 18:25:08
797.0,808.7,968.16,797.0,4359.33,510.1,450.1,34.08,510.1,207.66,Sensor Optimization Charge,42835,jita,2025-11-02 19:17:12
797.0,808.7,968.4,797.0,4362.01,510.1,450.1,34.08,510.1,207.66,Sensor Optimization Charge,42835,jita,2025-11-02 20:21:04
797.0,808.7,969.77,797.1,4376.79,510.1,450.1,34.08,510.1,207.66,Sensor Optimization Charge,42835,jita,2025-11-02 21:18:38
795.9,808.7,967.81,795.9,4356.21,510.1,450.1,34.08,510.1,207.66,Sensor Optimization Charge,42835,jita,2025-11-02 22:18:56
795.9,808.7,968.3,795.9,4361.58,510.1,450.1,34.08,510.1,207.66,Sensor Optimization Charge,42835,jita,2025-11-02 23:18:30
795.9,808.7,968.8,797.0,4366.97,511.3,450.1,33.78,511.3,207.91,Sensor Optimization Charge,42835,jita,2025-11-03 01:27:35
795.9,808.7,969.08,795.9,4371.73,511.3,450.1,33.63,511.3,207.97,Sensor Optimization Charge,42835,jita,2025-11-03 03:19:36
795.8,808.7,969.15,795.8,4373.1,511.3,450.1,33.63,511.3,207.97,Sensor Optimization Charge,42835,jita,2025-11-03 04:30:20
795.7,808.7,968.83,795.7,4373.16,511.3,450.1,33.63,511.3,207.97,Sensor Optimization Charge,42835,jita,2025-11-03 05:22:08
795.7,808.7,968.83,795.7,4373.16,511.3,450.1,33.63,511.3,207.97,Sensor Optimization Charge,42835,jita,2025-11-03 06:32:21
795.7,808.7,969.46,795.7,4379.96,511.3,450.1,33.63,511.3,207.97,Sensor Optimization Charge,42835,jita,2025-11-03 07:22:36
795.7,808.7,969.46,795.7,4379.96,511.3,450.1,33.5,511.3,208.03,Sensor Optimization Charge,42835,jita,2025-11-03 08:29:23
795.7,808.7,969.57,795.7,4381.32,511.3,450.1,33.39,511.3,208.08,Sensor Optimization Charge,42835,jita,2025-11-03 09:25:06
795.7,808.7,971.71,795.7,4404.22,511.4,450.1,33.39,511.4,208.15,Sensor Optimization Charge,42835,jita,2025-11-03 10:25:13
795.6,808.7,971.54,795.7,4402.42,511.4,450.1,32.9,511.4,208.37,Sensor Optimization Charge,42835,jita,2025-11-03 11:19:17
795.6,808.7,971.79,795.6,4405.19,511.4,450.1,32.9,511.4,208.37,Sensor Optimization Charge,42835,jita,2025-11-03 12:41:31
795.6,808.7,971.79,795.6,4405.19,511.4,450.1,32.9,511.4,208.37,Sensor Optimization Charge,42835,jita,2025-11-03 13:33:05
795.6,808.7,973.0,795.6,4418.03,511.5,450.1,33.88,511.5,207.93,Sensor Optimization Charge,42835,jita,2025-11-03 14:21:43
795.6,808.7,973.03,795.6,4418.38,511.5,450.1,33.88,511.5,207.93,Sensor Optimization Charge,42835,jita,2025-11-03 15:22:41
