Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
699.0,744.0,730.78,699.0,20.16,100.0,96.04,96.41,100.0,1.17,Shield Harmonizing Charge,42695,C-J6MT,2025-11-02 09:08:36
699.0,744.0,731.32,699.0,19.9,100.0,96.04,96.41,100.0,1.17,Shield Harmonizing Charge,42695,C-J6MT,2025-11-02 09:20:06
699.0,744.0,731.88,699.0,19.6,100.0,96.04,96.41,100.0,1.17,Shield Harmonizing Charge,42695,C-J6MT,2025-11-02 10:19:46
699.0,744.0,731.88,699.0,19.6,100.0,96.04,96.41,100.0,1.17,Shield Harmonizing Charge,42695,C-J6MT,2025-11-02 10:59:13
699.0,744.0,731.88,699.0,19.6,100.0,96.04,96.41,100.0,1.17,Shield Harmonizing Charge,42695,C-J6MT,2025-11-02 11:11:15
699.0,744.0,731.88,699.0,19.6,100.0,96.04,96.41,100.0,1.17,Shield Harmonizing Charge,42695,C-J6MT,2025-11-02 11:16:45
699.0,744.0,731.88,699.0,19.6,100.0,96.04,96.41,100.0,1.17,Shield Harmonizing Charge,42695,C-J6MT,2025-11-02 12:35:56
699.0,744.0,731.88,699.0,19.6,100.0,96.04,96.41,100.0,1.17,Shield Harmonizing Charge,42695,C-J6MT,2025-11-02 13:25:03
699.0,744.0,731.88,699.0,19.6,100.0,96.04,96.41,100.0,1.17,Shield Harmonizing Charge,42695,C-J6MT,2025-11-02 14:18:21
699.0,744.0,731.88,699.0,19.6,100.0,96.04,96.41,100.0,1.16,Shield Harmonizing Charge,42695,C-J6MT,2025-11-02 15:19:57
699.0,744.0,731.88,699.0,19.6,100.0,96.04,96.41,100.0,1.16,Shield Harmonizing Charge,42695,C-J6MT,2025-11-02 16:22:18
698.0,744.0,730.99,698.0,20.09,100.0,96.04,96.41,100.0,1.16,Shield Harmonizing Charge,42695,C-J6MT,2025-11-02 17:18:40
