Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
928400.0,946500.0,963804.68,928400.0,82682.09,829000.0,827800.0,106030.88,829000.0,363427.31,Signal Amplifier II,1987,jita,2025-11-02 09:08:36
928300.0,946500.0,963830.07,928300.0,82720.43,829400.0,827800.0,105676.62,829400.0,363610.23,Signal Amplifier II,1987,jita,2025-11-02 09:20:07
928300.0,946500.0,963854.77,928300.0,82742.57,829400.0,827800.0,103886.58,829400.0,364423.39,Signal Amplifier II,1987,jita,2025-11-02 10:19:47
928300.0,946500.0,963879.51,928300.0,82764.72,829400.0,827800.0,103409.42,829400.0,364640.26,Signal Amplifier II,1987,jita,2025-11-02 10:59:14
928300.0,946500.0,963879.51,928300.0,82764.72,829400.0,827800.0,103409.42,829400.0,364640.26,Signal Amplifier II,1987,jita,2025-11-02 11:11:16
928300.0,946500.0,963891.89,928300.0,82775.81,829400.0,827800.0,102932.35,829400.0,364857.13,Signal Amplifier II,1987,jita,2025-11-02 11:16:46
928200.0,946500.0,964128.68,928300.0,82987.23,829500.0,827800.0,101383.24,829500.0,365565.94,Signal Amplifier II,1987,jita,2025-11-02 12:35:57
928300.0,946500.0,964242.11,928300.0,83087.82,829500.0,827800.0,100310.88,829400.0,366053.45,Signal Amplifier II,1987,jita,2025-11-02 13:25:03
928300.0,946500.0,964483.71,928400.0,83301.34,829500.0,827800.0,99612.15,829500.0,366469.14,Signal Amplifier II,1987,jita,2025-11-02 14:18:22
928300.0,946500.0,964868.07,928400.0,83643.2,829500.0,827800.0,97588.99,829500.0,367390.76,Signal Amplifier II,1987,jita,2025-11-02 15:19:58
928000.0,946500.0,963618.02,928000.0,82550.84,829800.0,829500.0,97091.04,829800.0,368232.92,Signal Amplifier II,1987,jita,2025-11-02 16:22:19
927900.0,946500.0,962378.52,927900.0,81433.64,829800.0,829500.0,96615.25,829800.0,368451.36,Signal Amplifier II,1987,jita,2025-11-02 17:18:41
927900.0,946500.0,950997.19,927900.0,34270.65,829800.0,829500.0,96258.51,829800.0,368615.15,Signal Amplifier II,1987,jita,2025-11-02 18:25:12
923900.0,946500.0,950639.19,923900.0,34619.77,829800.0,829500.0,95901.87,829800.0,368778.89,Signal Amplifier II,1987,jita,2025-11-02 19:17:17
923700.0,946500.0,947319.28,923700.0,33624.44,830200.0,829600.0,107590.28,830200.0,363429.71,Signal Amplifier II,1987,jita,2025-11-02 20:21:08
923700.0,946500.0,947457.21,923700.0,33671.12,830200.0,829600.0,107351.19,830200.0,363538.66,Signal Amplifier II,1987,jita,2025-11-02 21:18:43
923700.0,946500.0,947493.78,923700.0,33683.39,830200.0,829600.0,107351.19,830200.0,363538.66,Signal Amplifier II,1987,jita,2025-11-02 22:18:59
923600.0,946500.0,947444.06,923600.0,33787.36,830200.0,829600.0,106992.59,830200.0,363702.12,Signal Amplifier II,1987,jita,2025-11-02 23:18:33
923600.0,946500.0,947488.31,923600.0,33802.2,829900.0,829600.0,104602.75,829900.0,364792.42,Signal Amplifier II,1987,jita,2025-11-03 01:27:39
923000.0,928000.0,938729.53,923000.0,29674.0,829900.0,829600.0,104244.48,829900.0,364956.34,Signal Amplifier II,1987,jita,2025-11-03 03:19:40
923000.0,928000.0,938900.22,923000.0,29785.71,829900.0,829600.0,104005.66,829900.0,365065.63,Signal Amplifier II,1987,jita,2025-11-03 04:30:23
923000.0,928000.0,938906.61,923000.0,29789.86,829900.0,829600.0,103886.26,829900.0,365120.27,Signal Amplifier II,1987,jita,2025-11-03 05:22:12
923000.0,928000.0,938909.81,923000.0,29791.94,829900.0,829500.0,102692.52,829900.0,365666.76,Signal Amplifier II,1987,jita,2025-11-03 06:32:25
922900.0,928000.0,938909.76,922900.0,29803.3,829900.0,829500.0,102095.87,829900.0,365940.02,Signal Amplifier II,1987,jita,2025-11-03 07:22:41
922900.0,928000.0,938909.76,922900.0,29803.3,829900.0,829500.0,101857.25,829900.0,366049.32,Signal Amplifier II,1987,jita,2025-11-03 08:29:27
922900.0,928000.0,938916.2,922900.0,29807.44,829900.0,829500.0,100783.81,829900.0,366541.17,Signal Amplifier II,1987,jita,2025-11-03 09:25:09
922900.0,928000.0,938916.2,922900.0,29807.44,829900.0,829500.0,100783.81,829900.0,366541.17,Signal Amplifier II,1987,jita,2025-11-03 10:25:17
922900.0,928000.0,938931.05,922900.0,29825.03,829900.0,829500.0,100187.7,829900.0,366814.39,Signal Amplifier II,1987,jita,2025-11-03 11:19:21
922900.0,928000.0,938940.75,922900.0,29831.26,829900.0,829500.0,99830.13,829900.0,366978.3,Signal Amplifier II,1987,jita,2025-11-03 12:41:34
922700.0,928000.0,938898.33,922900.0,29804.55,829900.0,829500.0,99472.63,829900.0,367142.21,Signal Amplifier II,1987,jita,2025-11-03 13:33:09
922900.0,928000.0,938950.47,922900.0,29837.49,829900.0,829500.0,99472.63,829900.0,367142.21,Signal Amplifier II,1987,jita,2025-11-03 14:21:46
922400.0,923900.0,937326.1,922400.0,28790.27,830100.0,829600.0,108786.24,830100.0,362887.06,Signal Amplifier II,1987,jita,2025-11-03 15:22:45
922400.0,923900.0,937323.87,922400.0,28827.37,830200.0,829700.0,108818.1,830200.0,363049.05,Signal Amplifier II,1987,jita,2025-11-03 16:24:39
922300.0,923900.0,937449.22,922300.0,29080.49,830200.0,829700.0,105709.74,830200.0,364469.63,Signal Amplifier II,1987,jita,2025-11-03 17:20:03
921700.0,923800.0,936297.08,921700.0,21907.13,830600.0,829700.0,105353.93,830600.0,364647.96,Signal Amplifier II,1987,jita,2025-11-03 18:29:00
921700.0,923800.0,936325.71,921700.0,21916.31,830600.0,829700.0,105114.88,830600.0,364757.05,Signal Amplifier II,1987,jita,2025-11-03 19:17:47
921700.0,923800.0,936328.4,921700.0,21917.39,830600.0,829700.0,104875.86,830600.0,364866.15,Signal Amplifier II,1987,jita,2025-11-03 20:25:08
921600.0,923800.0,936312.13,921700.0,21911.02,830600.0,829700.0,104875.86,830600.0,364866.15,Signal Amplifier II,1987,jita,2025-11-03 21:21:02
921700.0,923800.0,936379.68,921700.0,21937.9,830600.0,829700.0,104756.35,830600.0,364920.7,Signal Amplifier II,1987,jita,2025-11-03 22:21:36
921700.0,923800.0,936368.85,921700.0,21933.58,830600.0,829700.0,104756.35,830600.0,364920.7,Signal Amplifier II,1987,jita,2025-11-03 23:19:37
921600.0,923800.0,936340.85,921700.0,21991.14,830700.0,829500.0,102371.78,830700.0,366036.53,Signal Amplifier II,1987,jita,2025-11-04 01:24:22
921700.0,923800.0,936522.33,921700.0,22063.11,830700.0,829500.0,101655.46,830700.0,366363.8,Signal Amplifier II,1987,jita,2025-11-04 03:12:28
921600.0,923700.0,935810.01,921600.0,21784.41,830700.0,829500.0,100700.76,830700.0,366800.13,Signal Amplifier II,1987,jita,2025-11-04 04:24:14
921500.0,923700.0,935812.51,921600.0,21785.51,830700.0,829500.0,100462.15,830700.0,366909.2,Signal Amplifier II,1987,jita,2025-11-04 05:21:26
921400.0,923700.0,935329.79,921400.0,21580.71,830700.0,829500.0,99031.19,830700.0,367563.47,Signal Amplifier II,1987,jita,2025-11-04 06:31:41
921300.0,923700.0,935319.58,921400.0,21592.05,830700.0,829500.0,98673.63,830700.0,367726.99,Signal Amplifier II,1987,jita,2025-11-04 07:21:13
921300.0,923700.0,935334.12,921400.0,21598.32,830700.0,829500.0,98435.3,830700.0,367835.99,Signal Amplifier II,1987,jita,2025-11-04 08:28:41
921300.0,923700.0,935341.4,921400.0,21601.45,830700.0,829500.0,97958.76,830700.0,368053.96,Signal Amplifier II,1987,jita,2025-11-04 09:25:14
921300.0,923700.0,935351.12,921400.0,21605.63,830700.0,829500.0,97720.54,830700.0,368162.92,Signal Amplifier II,1987,jita,2025-11-04 10:25:54
921300.0,923700.0,935355.99,921400.0,21607.72,830700.0,829500.0,95102.83,830600.0,369360.46,Signal Amplifier II,1987,jita,2025-11-04 11:19:43
921300.0,923700.0,935360.86,921400.0,21609.81,830600.0,829500.0,94389.84,830600.0,369686.73,Signal Amplifier II,1987,jita,2025-11-04 12:43:12
921300.0,923700.0,935365.73,921400.0,21611.9,830600.0,829500.0,93914.78,830600.0,369904.24,Signal Amplifier II,1987,jita,2025-11-04 13:35:59
920800.0,923700.0,935291.58,920900.0,21631.19,830600.0,829500.0,93914.78,830600.0,369904.24,Signal Amplifier II,1987,jita,2025-11-04 14:22:38
920800.0,923700.0,935303.7,920900.0,21636.45,830600.0,829500.0,93083.89,830600.0,370284.62,Signal Amplifier II,1987,jita,2025-11-04 15:23:14
920800.0,923700.0,935316.27,920900.0,21641.44,830600.0,829500.0,92609.38,830600.0,370501.83,Signal Amplifier II,1987,jita,2025-11-04 16:26:33
920000.0,923700.0,935245.39,920900.0,21619.49,830700.0,829500.0,91565.82,830700.0,371139.73,Signal Amplifier II,1987,jita,2025-11-04 17:18:26
919900.0,923700.0,935268.66,920000.0,21635.98,830700.0,829500.0,90973.51,830700.0,371411.26,Signal Amplifier II,1987,jita,2025-11-04 18:30:37
919600.0,923700.0,935225.19,919600.0,21696.14,830900.0,829500.0,90382.14,830900.0,371686.32,Signal Amplifier II,1987,jita,2025-11-04 19:17:36
919600.0,923700.0,935263.2,919600.0,21708.28,830900.0,829500.0,89908.8,830900.0,371902.88,Signal Amplifier II,1987,jita,2025-11-04 20:24:58
919600.0,923700.0,935290.45,919600.0,21716.95,830900.0,829500.0,87428.06,830700.0,373037.0,Signal Amplifier II,1987,jita,2025-11-04 21:20:08
919500.0,923700.0,935298.61,919600.0,21719.57,830700.0,829500.0,86838.54,830700.0,373306.34,Signal Amplifier II,1987,jita,2025-11-04 22:20:59
919400.0,923700.0,935233.63,919400.0,21766.73,830700.0,829500.0,85660.98,830700.0,373844.71,Signal Amplifier II,1987,jita,2025-11-04 23:20:58
919400.0,923700.0,935255.73,919400.0,21773.57,830700.0,829500.0,85425.7,830700.0,373952.22,Signal Amplifier II,1987,jita,2025-11-05 00:10:07
919300.0,923700.0,935178.18,919400.0,21749.97,830700.0,829500.0,85425.7,830700.0,373952.22,Signal Amplifier II,1987,jita,2025-11-05 00:20:10
919300.0,923700.0,935178.18,919400.0,21749.97,830700.0,829500.0,85425.7,830700.0,373952.22,Signal Amplifier II,1987,jita,2025-11-05 00:31:20
919300.0,923700.0,935006.44,919300.0,21696.6,830700.0,829500.0,85425.7,830700.0,373952.22,Signal Amplifier II,1987,jita,2025-11-05 01:26:15
919300.0,923700.0,935011.84,919300.0,21698.3,830700.0,829500.0,85425.7,830700.0,373952.22,Signal Amplifier II,1987,jita,2025-11-05 03:13:41
919300.0,923700.0,935030.75,919300.0,21704.24,830700.0,829500.0,85425.7,830700.0,373952.22,Signal Amplifier II,1987,jita,2025-11-05 04:25:00
919300.0,923700.0,935030.75,919300.0,21704.24,830700.0,829500.0,85425.7,830700.0,373952.22,Signal Amplifier II,1987,jita,2025-11-05 05:21:52
919300.0,923700.0,935036.16,919300.0,21705.94,830700.0,829500.0,85425.7,830700.0,373952.22,Signal Amplifier II,1987,jita,2025-11-05 06:32:17
919200.0,923700.0,934986.69,919300.0,21314.57,830700.0,829500.0,85425.7,830700.0,373952.22,Signal Amplifier II,1987,jita,2025-11-05 07:22:08
919200.0,923700.0,934992.12,919300.0,21316.15,830700.0,829500.0,85425.7,830700.0,373952.22,Signal Amplifier II,1987,jita,2025-11-05 08:28:39
919200.0,923700.0,934992.12,919300.0,21316.15,830700.0,829500.0,85425.7,830700.0,373952.22,Signal Amplifier II,1987,jita,2025-11-05 09:23:36
919100.0,923700.0,934989.46,919300.0,21315.32,830700.0,829500.0,85425.7,830700.0,373952.22,Signal Amplifier II,1987,jita,2025-11-05 10:23:49
919200.0,923700.0,935033.07,919300.0,21327.96,830700.0,829500.0,85425.7,830700.0,373952.22,Signal Amplifier II,1987,jita,2025-11-05 11:20:38
919300.0,923000.0,932039.53,919300.0,21197.39,830700.0,829500.0,85425.7,830700.0,373952.22,Signal Amplifier II,1987,jita,2025-11-05 12:42:19
830900.0,923000.0,931915.61,919300.0,21475.35,830700.0,829500.0,85425.7,830700.0,373952.22,Signal Amplifier II,1987,jita,2025-11-05 13:19:17
830900.0,923000.0,931915.61,919300.0,21475.35,830700.0,829500.0,85425.7,830700.0,373952.22,Signal Amplifier II,1987,jita,2025-11-05 13:35:13
919400.0,923000.0,932240.44,919400.0,21316.75,830700.0,829500.0,85425.7,830700.0,373952.22,Signal Amplifier II,1987,jita,2025-11-05 14:21:56
919400.0,923000.0,932281.17,919400.0,21337.66,830700.0,829500.0,83311.78,830700.0,374917.0,Signal Amplifier II,1987,jita,2025-11-05 15:22:35
919300.0,923000.0,932287.94,919400.0,21341.17,830700.0,829500.0,82725.79,830700.0,375184.04,Signal Amplifier II,1987,jita,2025-11-05 16:28:10
919400.0,923000.0,932326.72,919400.0,21360.93,830700.0,829500.0,82608.65,830700.0,375237.39,Signal Amplifier II,1987,jita,2025-11-05 17:21:22
919400.0,923000.0,932335.87,919400.0,21365.59,830700.0,829500.0,82491.54,830700.0,375290.73,Signal Amplifier II,1987,jita,2025-11-05 18:30:32
919000.0,923000.0,932307.96,919000.0,21385.21,831000.0,829500.0,93584.36,831000.0,370227.97,Signal Amplifier II,1987,jita,2025-11-05 19:18:12
918900.0,923000.0,931947.09,918900.0,21212.41,831000.0,829500.0,93465.61,831000.0,370282.31,Signal Amplifier II,1987,jita,2025-11-05 20:23:58
918700.0,923000.0,931959.21,918700.0,21232.4,831000.0,829500.0,93228.17,831000.0,370390.97,Signal Amplifier II,1987,jita,2025-11-05 21:21:13
918400.0,923000.0,931839.43,918400.0,21189.67,832000.0,829500.0,95130.44,832000.0,369529.07,Signal Amplifier II,1987,jita,2025-11-05 22:20:04
918400.0,923000.0,931850.95,918400.0,21194.93,832000.0,829500.0,95130.44,832000.0,369529.07,Signal Amplifier II,1987,jita,2025-11-05 23:20:10
