Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-29 18:39:56
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-29 18:34:17
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-29 19:18:03
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-29 20:25:13
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-29 21:21:06
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-29 22:20:59
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-29 23:20:53
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 01:27:53
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 03:13:36
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 04:24:44
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 05:21:41
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 06:32:01
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 07:21:03
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 08:28:04
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 09:24:09
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 10:23:31
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 11:19:25
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 12:41:02
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 13:33:25
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 14:22:09
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 15:24:30
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 16:26:26
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 17:20:29
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 18:29:39
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 19:18:20
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 20:23:49
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 21:19:31
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 22:20:47
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-30 23:20:04
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-31 01:24:40
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-31 03:13:43
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-31 04:25:37
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-31 05:22:38
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-31 06:31:17
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-31 07:20:52
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-31 08:27:03
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-31 09:23:42
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-31 10:22:42
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-31 11:19:59
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-31 12:40:53
3291000.0,3327000.0,3471570.16,3292000.0,283270.41,2826000.0,2398.0,6525.6,2826000.0,1104726.92,Skirmish Command Burst II,43556,jita,2025-10-31 13:33:44
