Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
770500.0,799900.0,814137.87,770500.0,33713.07,50870.0,50870.0,50844.58,50870.0,31.57,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 09:08:38
770500.0,799900.0,814168.8,770500.0,33704.6,50870.0,50870.0,50844.58,50870.0,31.57,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 09:20:10
770500.0,799900.0,814199.78,770500.0,33696.08,50870.0,50870.0,50844.58,50870.0,31.57,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 10:19:49
770000.0,799900.0,814168.44,770500.0,33705.05,50870.0,50870.0,50844.58,50870.0,31.57,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 10:59:16
770000.0,799900.0,814168.44,770500.0,33705.05,50870.0,50870.0,50844.58,50870.0,31.57,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 11:11:19
770000.0,799900.0,814168.44,770500.0,33705.05,50870.0,50870.0,50844.58,50870.0,31.57,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 11:16:48
770500.0,799900.0,814199.78,770500.0,33696.08,50870.0,50870.0,50844.58,50870.0,31.57,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 12:36:00
770500.0,799900.0,814230.8,770500.0,33687.52,50870.0,50870.0,50844.58,50870.0,31.57,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 13:25:05
770500.0,799900.0,814261.86,770500.0,33678.92,50870.0,50870.0,50844.58,50870.0,31.57,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 14:18:24
770500.0,799900.0,814292.97,770500.0,33670.28,50870.0,50870.0,50844.43,50870.0,31.6,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 15:20:00
770500.0,799900.0,814324.12,770500.0,33661.6,50870.0,50870.0,50844.43,50870.0,31.6,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 16:22:21
770500.0,799900.0,814386.56,770500.0,33644.11,50870.0,50870.0,50844.43,50870.0,31.6,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 17:18:44
770500.0,799900.0,814449.18,770500.0,33626.44,50870.0,50870.0,50844.43,50870.0,31.6,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 18:25:14
770500.0,799900.0,814543.44,770500.0,33599.62,50870.0,50870.0,50844.43,50870.0,31.6,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 19:17:19
770400.0,799900.0,814759.42,770400.0,33542.5,50870.0,50870.0,50844.43,50870.0,31.6,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 20:21:09
770400.0,799900.0,814823.26,770400.0,33523.62,50870.0,50870.0,50844.43,50870.0,31.6,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 21:18:45
770400.0,799900.0,814855.25,770400.0,33514.1,50870.0,50870.0,50844.28,50870.0,31.63,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 22:19:01
770400.0,799900.0,814855.25,770400.0,33514.1,50870.0,50870.0,50844.28,50870.0,31.63,Small Capacitor Booster II,3568,C-J6MT,2025-11-02 23:18:35
770400.0,799900.0,815015.89,770400.0,33465.84,50870.0,50870.0,50844.28,50870.0,31.63,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 01:27:41
770400.0,799900.0,815210.2,770500.0,33406.39,50870.0,50870.0,50844.28,50870.0,31.63,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 03:19:42
770400.0,799900.0,815210.2,770500.0,33406.39,50870.0,50870.0,50844.28,50870.0,31.63,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 04:30:25
770300.0,799900.0,815261.43,770300.0,33404.12,50870.0,50870.0,50844.28,50870.0,31.63,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 05:22:14
770300.0,799900.0,815294.14,770300.0,33393.88,50870.0,50870.0,50844.28,50870.0,31.63,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 06:32:27
770300.0,799900.0,815294.14,770300.0,33393.88,50870.0,50870.0,50844.28,50870.0,31.63,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 07:22:44
770300.0,799900.0,815326.9,770300.0,33383.59,50870.0,50870.0,50844.28,50870.0,31.63,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 08:29:29
770300.0,799900.0,815326.9,770300.0,33383.59,50880.0,50870.0,50844.63,50880.0,31.87,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 09:25:11
770300.0,799900.0,815326.9,770300.0,33383.59,50880.0,50870.0,50844.63,50880.0,31.87,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 10:25:20
770300.0,799900.0,815326.9,770300.0,33383.59,50880.0,50870.0,50844.63,50880.0,31.87,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 11:19:23
770300.0,799900.0,815326.9,770300.0,33383.59,50880.0,50870.0,50844.63,50880.0,31.87,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 12:41:36
770300.0,799900.0,815326.9,770300.0,33383.59,50890.0,50890.0,50855.94,50890.0,41.13,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 13:33:11
770300.0,799900.0,815392.55,770300.0,33362.87,50890.0,50890.0,50855.94,50890.0,41.13,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 14:21:48
770300.0,799900.0,815458.4,770300.0,33341.94,50890.0,50890.0,50855.94,50890.0,41.13,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 15:22:47
770300.0,799900.0,815491.39,770300.0,33331.41,50890.0,50890.0,50855.94,50890.0,41.13,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 16:24:41
770100.0,799900.0,815359.18,770300.0,33373.93,50890.0,50890.0,50855.94,50890.0,41.13,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 17:20:05
770000.0,799900.0,815392.03,770300.0,33363.55,50900.0,50890.0,50863.02,50900.0,42.07,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 18:29:02
770100.0,799900.0,815458.25,770300.0,33342.14,50900.0,50890.0,50862.35,50900.0,42.15,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 19:17:49
770100.0,799900.0,815458.25,770300.0,33342.14,50900.0,50890.0,50862.35,50900.0,42.15,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 20:25:10
770300.0,799900.0,815491.39,770300.0,33331.41,50900.0,50890.0,50862.35,50900.0,42.15,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 21:21:05
770200.0,799900.0,815556.18,770300.0,33311.95,50930.0,50890.0,50863.62,50930.0,43.11,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 22:21:38
770200.0,799900.0,815556.18,770300.0,33311.95,50930.0,50890.0,50863.62,50930.0,43.11,Small Capacitor Booster II,3568,C-J6MT,2025-11-03 23:19:39
770300.0,799900.0,815689.25,770300.0,33268.61,50930.0,50890.0,50863.62,50930.0,43.11,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 01:24:24
770300.0,799900.0,815689.25,770300.0,33268.61,50930.0,50890.0,50863.62,50930.0,43.11,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 03:12:30
770300.0,799900.0,815722.59,770300.0,33257.72,50930.0,50890.0,50863.62,50930.0,43.11,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 04:24:16
770300.0,799900.0,815822.89,770300.0,33224.74,50940.0,50890.0,50868.66,50940.0,46.1,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 05:21:27
770300.0,799900.0,815822.89,770300.0,33224.74,50940.0,50890.0,50868.66,50940.0,46.1,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 06:31:43
770300.0,799900.0,815822.89,770300.0,33224.74,50940.0,5095.0,14583.81,50940.0,22855.43,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 07:21:14
770300.0,799900.0,815856.42,770300.0,33213.64,50940.0,5095.0,14583.81,50940.0,22855.43,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 08:28:43
770300.0,799900.0,814844.61,770300.0,33888.03,50940.0,5095.0,14583.81,50940.0,22855.43,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 09:25:16
770300.0,799900.0,814877.88,770300.0,33878.42,50940.0,5095.0,14583.81,50940.0,22855.43,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 10:25:56
770300.0,799900.0,814944.56,770300.0,33859.06,50940.0,5095.0,14583.81,50940.0,22855.43,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 11:19:45
770300.0,799900.0,815044.96,770300.0,33829.64,50940.0,5095.0,14583.81,50940.0,22855.43,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 12:43:14
770300.0,799900.0,815145.82,770300.0,33799.78,50940.0,5095.0,14583.81,50940.0,22855.43,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 13:36:00
770300.0,799900.0,815179.54,770300.0,33789.73,51000.0,51000.0,50928.32,51000.0,87.78,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 14:22:40
770300.0,799900.0,815213.31,770300.0,33779.62,51000.0,51000.0,50928.32,51000.0,87.78,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 15:23:15
770300.0,799900.0,815314.92,770300.0,33749.0,51000.0,51000.0,50928.32,51000.0,87.78,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 16:26:36
770300.0,799900.0,815348.89,770300.0,33738.69,51000.0,51000.0,50928.32,51000.0,87.78,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 17:18:28
770300.0,799900.0,815451.12,770300.0,33707.45,51000.0,51000.0,50928.32,51000.0,87.78,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 18:30:40
770000.0,799900.0,815416.06,770300.0,33719.12,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 19:17:37
770300.0,799900.0,815588.15,770300.0,33665.06,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 20:25:00
770300.0,799900.0,815622.54,770300.0,33654.33,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 21:20:10
770300.0,799900.0,815656.98,770300.0,33643.55,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 22:21:01
770300.0,799900.0,815760.61,770300.0,33610.88,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-04 23:21:00
770300.0,799900.0,815760.61,770300.0,33610.88,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 00:10:09
770300.0,799900.0,815760.61,770300.0,33610.88,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 00:20:12
770300.0,799900.0,815760.61,770300.0,33610.88,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 00:31:22
770300.0,799900.0,816074.38,770300.0,33509.89,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 01:26:17
770300.0,799900.0,816074.38,770300.0,33509.89,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 03:13:43
770300.0,799900.0,816074.38,770300.0,33509.89,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 04:25:02
770300.0,799900.0,816074.38,770300.0,33509.89,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 05:21:54
770300.0,799900.0,816074.38,770300.0,33509.89,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 06:32:20
770300.0,799900.0,816074.38,770300.0,33509.89,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 07:22:11
770300.0,799900.0,816074.38,770300.0,33509.89,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 08:28:41
770300.0,799900.0,816109.51,770300.0,33498.39,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 09:23:38
770300.0,799900.0,816109.51,770300.0,33498.39,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 10:23:51
770300.0,799900.0,816215.22,770300.0,33463.54,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 11:20:40
770300.0,799900.0,816215.22,770300.0,33463.54,51000.0,51000.0,50927.91,51000.0,87.86,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 12:42:21
770300.0,799900.0,816215.22,770300.0,33463.54,51000.0,51000.0,50927.5,51000.0,87.95,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 13:19:18
770300.0,799900.0,816215.22,770300.0,33463.54,51000.0,51000.0,50927.5,51000.0,87.95,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 13:35:16
770300.0,799900.0,816215.22,770300.0,33463.54,51000.0,51000.0,50927.5,51000.0,87.95,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 14:21:58
770300.0,799900.0,816285.97,770300.0,33440.02,51000.0,51000.0,50927.5,51000.0,87.95,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 15:22:37
770300.0,799900.0,816285.97,770300.0,33440.02,51000.0,51000.0,50927.5,51000.0,87.95,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 16:28:12
770300.0,799900.0,816285.97,770300.0,33440.02,51010.0,51000.0,50928.88,51010.0,88.61,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 17:21:24
750000.0,799900.0,816028.24,770300.0,33626.03,51010.0,51000.0,50928.88,51010.0,88.61,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 18:30:34
750000.0,799900.0,816079.63,770300.0,33589.17,51010.0,51000.0,50928.88,51010.0,88.61,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 19:18:14
750000.0,799900.0,816079.63,770300.0,33589.17,51010.0,51000.0,50928.88,51010.0,88.61,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 20:24:00
770100.0,799900.0,818849.24,770100.0,313336.38,51010.0,51000.0,50928.88,51010.0,88.61,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 21:21:15
770000.0,799900.0,815039.18,770100.0,33837.0,51010.0,51000.0,50928.88,51010.0,88.61,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 22:20:06
770100.0,799900.0,815140.71,770100.0,33806.29,51010.0,51000.0,50928.88,51010.0,88.61,Small Capacitor Booster II,3568,C-J6MT,2025-11-05 23:20:12
770100.0,799900.0,815174.58,770100.0,33796.05,51010.0,51000.0,50928.88,51010.0,88.61,Small Capacitor Booster II,3568,C-J6MT,2025-11-06 00:16:37
770100.0,799900.0,815174.58,770100.0,33796.05,51010.0,51000.0,50928.41,51010.0,88.65,Small Capacitor Booster II,3568,C-J6MT,2025-11-06 00:55:01
770100.0,799900.0,815208.5,770100.0,33785.76,51010.0,51000.0,50928.41,51010.0,88.65,Small Capacitor Booster II,3568,C-J6MT,2025-11-06 01:26:09
