Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
372500.0,393100.0,395187.39,372500.0,13172.03,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 09:08:39
372500.0,393100.0,395187.39,372500.0,13172.03,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 09:20:11
372500.0,393100.0,395187.39,372500.0,13172.03,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 10:19:50
372500.0,393100.0,395187.39,372500.0,13172.03,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 10:59:18
372500.0,393100.0,395187.39,372500.0,13172.03,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 11:11:20
372500.0,393100.0,395187.39,372500.0,13172.03,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 11:16:49
372500.0,393100.0,395187.39,372500.0,13172.03,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 12:36:01
372500.0,393100.0,395187.39,372500.0,13172.03,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 13:25:06
372500.0,393100.0,395187.39,372500.0,13172.03,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 14:18:25
372500.0,393100.0,395328.95,372500.0,13090.43,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 15:20:01
372500.0,393100.0,395340.82,372500.0,13083.49,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 16:22:21
372500.0,393100.0,395340.82,372500.0,13083.49,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 17:18:45
372500.0,393100.0,395340.82,372500.0,13083.49,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 18:25:15
372500.0,393100.0,395352.71,372500.0,13076.54,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 19:17:21
372500.0,393100.0,395376.52,372600.0,13062.56,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 20:21:10
372500.0,393100.0,395412.34,372800.0,13041.44,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 21:18:47
372500.0,393100.0,395424.3,372800.0,13034.36,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 22:19:02
372500.0,393100.0,395436.28,372800.0,13027.25,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-02 23:18:36
372500.0,393100.0,395448.27,372800.0,13020.13,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 01:27:41
372500.0,393100.0,395448.27,372800.0,13020.13,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 03:19:43
372500.0,393100.0,395448.27,372800.0,13020.13,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 04:30:26
372500.0,393100.0,395448.27,372800.0,13020.13,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 05:22:15
372500.0,393100.0,395448.27,372800.0,13020.13,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 06:32:28
372500.0,393100.0,395448.27,372800.0,13020.13,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 07:22:45
372500.0,393100.0,395448.27,372800.0,13020.13,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 08:29:30
372500.0,393100.0,395448.27,372800.0,13020.13,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 09:25:12
372500.0,393100.0,395448.27,372800.0,13020.13,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 10:25:21
372500.0,393100.0,395448.27,372800.0,13020.13,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 11:19:24
372500.0,393100.0,395448.27,372800.0,13020.13,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 12:41:37
372500.0,393100.0,395448.27,372800.0,13020.13,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 13:33:12
372500.0,393100.0,395448.27,372800.0,13020.13,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 14:21:49
372400.0,393100.0,395464.3,372400.0,13019.14,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 15:22:48
372400.0,393100.0,395464.3,372400.0,13019.14,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 16:24:42
372300.0,393100.0,395463.22,372400.0,13020.95,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 17:20:06
372300.0,393100.0,395463.22,372400.0,13020.95,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 18:29:03
372300.0,393100.0,395487.49,372400.0,13006.23,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 19:17:50
372300.0,393100.0,395487.49,372400.0,13006.23,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 20:25:11
372300.0,393100.0,395487.49,372400.0,13006.23,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 21:21:06
372300.0,393100.0,395487.49,372400.0,13006.23,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 22:21:39
372300.0,393100.0,395487.49,372400.0,13006.23,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-03 23:19:40
372300.0,393100.0,395487.49,372400.0,13006.23,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 01:24:25
372300.0,393100.0,395487.49,372400.0,13006.23,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 03:12:31
372300.0,393100.0,395487.49,372400.0,13006.23,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 04:24:16
372300.0,393100.0,395487.49,372400.0,13006.23,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 05:21:28
372300.0,393100.0,395499.65,372400.0,12998.83,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 06:31:44
372300.0,393100.0,395499.65,372400.0,12998.83,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 07:21:15
372300.0,393100.0,395499.65,372400.0,12998.83,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 08:28:43
372300.0,393100.0,395499.65,372400.0,12998.83,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 09:25:17
372300.0,393100.0,395511.82,372400.0,12991.41,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 10:25:57
372300.0,393100.0,395511.82,372400.0,12991.41,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 11:19:46
372300.0,393100.0,395511.82,372400.0,12991.41,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 12:43:15
372300.0,393100.0,395511.82,372400.0,12991.41,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 13:36:01
372300.0,393100.0,395511.82,372400.0,12991.41,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 14:22:41
372300.0,393100.0,395511.82,372400.0,12991.41,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 15:23:16
372300.0,393100.0,395511.82,372400.0,12991.41,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 16:26:37
372300.0,393100.0,395511.82,372400.0,12991.41,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 17:18:29
372000.0,393100.0,394636.93,372000.0,13496.3,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 18:30:41
372000.0,393100.0,394659.82,372000.0,13483.91,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 19:17:38
372000.0,393100.0,394659.82,372000.0,13483.91,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 20:25:01
372000.0,393100.0,394671.28,372000.0,13477.68,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 21:20:11
372000.0,393100.0,394671.28,372000.0,13477.68,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 22:21:03
372000.0,393100.0,394671.28,372000.0,13477.68,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-04 23:21:01
372000.0,393100.0,394671.28,372000.0,13477.68,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 00:10:11
372000.0,393100.0,394682.76,372000.0,13471.44,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 00:20:13
372000.0,393100.0,394682.76,372000.0,13471.44,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 00:31:23
372000.0,393100.0,394682.76,372000.0,13471.44,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 01:26:18
371900.0,393100.0,394681.14,371900.0,13474.03,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 03:13:44
371900.0,393100.0,394681.14,371900.0,13474.03,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 04:25:03
371900.0,393100.0,394681.14,371900.0,13474.03,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 05:21:55
371900.0,393100.0,394681.14,371900.0,13474.03,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 06:32:21
371900.0,393100.0,394681.14,371900.0,13474.03,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 07:22:12
371900.0,393100.0,394681.14,371900.0,13474.03,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 08:28:42
371900.0,393100.0,394704.22,371900.0,13461.33,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 09:23:39
371900.0,393100.0,394715.78,371900.0,13454.95,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 10:23:52
371900.0,393100.0,394715.78,371900.0,13454.95,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 11:20:42
371900.0,393100.0,394715.78,371900.0,13454.95,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 12:42:22
371900.0,393100.0,394715.78,371900.0,13454.95,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 13:19:19
371900.0,393100.0,394715.78,371900.0,13454.95,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 13:35:17
371900.0,393100.0,394715.78,371900.0,13454.95,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 14:21:59
371900.0,393100.0,394715.78,371900.0,13454.95,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 15:22:38
371900.0,393100.0,394715.78,371900.0,13454.95,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 16:28:13
371900.0,393100.0,394715.78,371900.0,13454.95,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 17:21:25
371800.0,393100.0,394694.9,371800.0,13488.38,100.0,100.0,100.0,100.0,0.0,Small Command Processor I,43894,C-J6MT,2025-11-05 18:30:35
