Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
207600.0,244100.0,264432.41,207600.0,74749.71,82010.0,81200.0,81227.8,82010.0,148.65,Small Shield Extender II,380,C-J6MT,2025-11-02 09:08:45
207600.0,244100.0,264432.41,207600.0,74749.71,82010.0,81200.0,81227.8,82010.0,148.65,Small Shield Extender II,380,C-J6MT,2025-11-02 09:20:19
207500.0,244100.0,264197.34,207600.0,74716.43,82010.0,81200.0,81227.8,82010.0,148.65,Small Shield Extender II,380,C-J6MT,2025-11-02 10:19:56
207500.0,244100.0,264197.34,207600.0,74716.43,82010.0,81200.0,81227.8,82010.0,148.65,Small Shield Extender II,380,C-J6MT,2025-11-02 10:59:26
207500.0,244100.0,264197.34,207600.0,74716.43,82010.0,81200.0,81227.8,82010.0,148.65,Small Shield Extender II,380,C-J6MT,2025-11-02 11:11:28
207500.0,244100.0,264255.93,207600.0,74724.8,82010.0,81200.0,81227.8,82010.0,148.65,Small Shield Extender II,380,C-J6MT,2025-11-02 11:16:56
207500.0,244100.0,264373.46,207600.0,74741.44,82010.0,81200.0,81227.8,82010.0,148.65,Small Shield Extender II,380,C-J6MT,2025-11-02 12:36:09
207600.0,245000.0,264698.65,207600.0,74786.86,82010.0,81200.0,81227.8,82010.0,148.65,Small Shield Extender II,380,C-J6MT,2025-11-02 13:25:12
207600.0,245000.0,264877.54,207600.0,74811.25,82010.0,81200.0,81227.8,82010.0,148.65,Small Shield Extender II,380,C-J6MT,2025-11-02 14:18:31
207600.0,245000.0,264907.46,207600.0,74815.28,82010.0,81200.0,81227.8,82010.0,148.65,Small Shield Extender II,380,C-J6MT,2025-11-02 15:20:09
207600.0,245000.0,265057.54,207600.0,74835.31,82010.0,81200.0,81227.8,82010.0,148.65,Small Shield Extender II,380,C-J6MT,2025-11-02 16:22:27
207600.0,245000.0,265512.51,207600.0,74894.05,82010.0,81200.0,81227.8,82010.0,148.65,Small Shield Extender II,380,C-J6MT,2025-11-02 17:18:53
207600.0,245000.0,265573.71,207600.0,74901.73,82010.0,81200.0,81227.8,82010.0,148.65,Small Shield Extender II,380,C-J6MT,2025-11-02 18:25:22
206500.0,245000.0,265401.86,206500.0,75096.28,82010.0,81200.0,81227.8,82010.0,148.65,Small Shield Extender II,380,C-J6MT,2025-11-02 19:17:29
206300.0,245000.0,264110.55,206300.0,75739.26,82010.0,81200.0,81227.8,82010.0,148.65,Small Shield Extender II,380,C-J6MT,2025-11-02 20:21:16
206300.0,245000.0,264202.25,206300.0,75751.62,82100.0,81200.0,81390.12,82100.0,366.88,Small Shield Extender II,380,C-J6MT,2025-11-02 21:18:55
206300.0,245000.0,264202.25,206300.0,75751.62,82100.0,81200.0,81390.12,82100.0,366.88,Small Shield Extender II,380,C-J6MT,2025-11-02 22:19:08
205500.0,245000.0,264160.0,205500.0,75931.6,82100.0,81200.0,81390.12,82100.0,366.88,Small Shield Extender II,380,C-J6MT,2025-11-02 23:18:42
205500.0,245000.0,264191.17,205500.0,75935.46,82100.0,81200.0,81390.12,82100.0,366.88,Small Shield Extender II,380,C-J6MT,2025-11-03 01:27:47
205400.0,245000.0,264293.57,205500.0,75990.99,82100.0,81200.0,81390.12,82100.0,366.88,Small Shield Extender II,380,C-J6MT,2025-11-03 03:19:50
205400.0,245000.0,264293.57,205500.0,75990.99,82100.0,81200.0,81390.12,82100.0,366.88,Small Shield Extender II,380,C-J6MT,2025-11-03 04:30:32
205300.0,245000.0,264255.84,205300.0,76016.9,82100.0,81200.0,81390.12,82100.0,366.88,Small Shield Extender II,380,C-J6MT,2025-11-03 05:22:21
205300.0,245000.0,264255.84,205300.0,76016.9,82100.0,81200.0,81390.12,82100.0,366.88,Small Shield Extender II,380,C-J6MT,2025-11-03 06:32:36
205300.0,245000.0,264287.28,205300.0,76020.66,82100.0,81200.0,81390.12,82100.0,366.88,Small Shield Extender II,380,C-J6MT,2025-11-03 07:22:53
205300.0,245000.0,264287.28,205300.0,76020.66,82100.0,81200.0,81390.12,82100.0,366.88,Small Shield Extender II,380,C-J6MT,2025-11-03 08:29:36
205300.0,245000.0,264287.28,205300.0,76020.66,82100.0,81200.0,81390.12,82100.0,366.88,Small Shield Extender II,380,C-J6MT,2025-11-03 09:25:18
205300.0,245000.0,264287.28,205300.0,76020.66,82100.0,81200.0,81390.12,82100.0,366.88,Small Shield Extender II,380,C-J6MT,2025-11-03 10:25:29
