Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
285.5,320.0,379.39,285.5,1061.53,49.09,37.02,26.82,49.09,9.5,Spike L,12807,jita,2025-11-02 09:08:46
285.2,320.0,379.39,285.5,1061.53,49.1,37.02,27.06,49.1,9.55,Spike L,12807,jita,2025-11-02 09:20:20
285.1,320.0,378.7,285.5,1058.21,49.1,37.02,27.06,49.1,9.55,Spike L,12807,jita,2025-11-02 10:19:56
285.0,320.0,378.66,285.5,1058.0,49.1,37.02,27.06,49.1,9.55,Spike L,12807,jita,2025-11-02 10:59:27
285.0,320.0,378.66,285.5,1058.0,49.1,37.02,27.06,49.1,9.55,Spike L,12807,jita,2025-11-02 11:11:29
285.0,320.0,378.66,285.5,1058.0,49.1,37.02,27.06,49.1,9.55,Spike L,12807,jita,2025-11-02 11:16:57
285.0,320.0,378.66,285.5,1058.0,49.1,37.02,27.06,49.1,9.55,Spike L,12807,jita,2025-11-02 12:36:10
285.1,320.0,378.87,285.5,1059.05,49.1,37.02,27.06,49.1,9.55,Spike L,12807,jita,2025-11-02 13:25:13
285.0,320.0,379.14,285.5,1060.32,50.0,37.02,27.1,50.0,9.65,Spike L,12807,jita,2025-11-02 14:18:32
284.9,320.0,379.13,285.5,1060.27,50.02,37.02,26.94,50.02,9.61,Spike L,12807,jita,2025-11-02 15:20:11
284.6,320.0,379.16,285.5,1060.43,50.03,37.02,26.94,50.03,9.63,Spike L,12807,jita,2025-11-02 16:22:28
284.6,320.0,379.16,285.5,1060.43,50.04,41.02,24.89,50.04,12.53,Spike L,12807,jita,2025-11-02 17:18:54
285.1,320.0,379.33,285.5,1061.23,50.06,41.02,24.89,50.06,12.53,Spike L,12807,jita,2025-11-02 18:25:23
285.3,320.0,377.51,285.4,1055.71,50.06,41.02,24.89,50.06,12.53,Spike L,12807,jita,2025-11-02 19:17:30
285.3,320.0,378.19,285.4,1059.06,50.06,41.02,24.89,50.06,12.53,Spike L,12807,jita,2025-11-02 20:21:17
285.4,320.0,378.37,285.4,1059.94,50.06,41.02,24.89,50.06,12.53,Spike L,12807,jita,2025-11-02 21:18:56
284.3,320.0,377.57,285.4,1056.05,50.06,41.02,24.89,50.06,12.53,Spike L,12807,jita,2025-11-02 22:19:09
284.3,320.0,377.57,285.4,1056.05,51.01,41.02,24.91,51.01,12.57,Spike L,12807,jita,2025-11-02 23:18:43
282.9,320.0,376.9,283.0,1052.95,51.02,41.02,25.73,51.02,12.52,Spike L,12807,jita,2025-11-03 01:27:48
282.9,320.0,376.93,283.0,1053.08,51.03,48.0,26.06,51.03,12.79,Spike L,12807,jita,2025-11-03 03:19:51
282.9,320.0,376.93,283.0,1053.08,51.03,48.0,26.06,51.03,12.79,Spike L,12807,jita,2025-11-03 04:30:33
282.9,320.0,376.93,283.0,1053.08,51.03,48.0,26.06,51.03,12.79,Spike L,12807,jita,2025-11-03 05:22:22
282.9,320.0,376.93,283.0,1053.08,51.03,48.0,26.06,51.03,12.79,Spike L,12807,jita,2025-11-03 06:32:37
282.9,320.0,376.93,283.0,1053.08,51.03,48.0,26.06,51.03,12.79,Spike L,12807,jita,2025-11-03 07:22:54
282.8,320.0,376.46,282.9,1050.81,55.02,49.09,27.14,55.02,12.87,Spike L,12807,jita,2025-11-03 08:29:37
282.0,320.0,376.45,282.9,1050.81,55.02,49.09,27.14,55.02,12.87,Spike L,12807,jita,2025-11-03 09:25:19
281.9,320.0,376.18,282.9,1049.51,55.03,49.09,27.19,55.03,12.95,Spike L,12807,jita,2025-11-03 10:25:30
281.9,320.0,376.18,282.9,1049.51,55.03,49.09,27.19,55.03,12.95,Spike L,12807,jita,2025-11-03 11:19:32
281.7,320.0,371.65,281.8,1027.68,55.05,49.09,27.19,55.05,12.95,Spike L,12807,jita,2025-11-03 12:41:44
281.7,320.0,371.71,281.8,1027.98,55.05,49.09,27.17,55.05,12.95,Spike L,12807,jita,2025-11-03 13:33:19
281.7,320.0,371.71,281.8,1027.98,55.05,49.09,27.17,55.05,12.95,Spike L,12807,jita,2025-11-03 14:21:56
281.7,320.0,371.3,281.8,1025.95,55.05,49.09,27.17,55.05,12.95,Spike L,12807,jita,2025-11-03 15:22:54
281.7,320.0,371.3,281.8,1025.95,55.05,49.09,27.17,55.05,12.95,Spike L,12807,jita,2025-11-03 16:24:49
281.6,320.0,371.18,281.8,1025.37,60.01,49.09,27.35,60.01,13.35,Spike L,12807,jita,2025-11-03 17:20:14
281.6,320.0,371.21,281.8,1025.52,60.01,49.09,27.32,60.01,13.34,Spike L,12807,jita,2025-11-03 18:29:10
281.6,320.0,371.24,281.8,1025.64,60.01,49.09,27.32,60.01,13.34,Spike L,12807,jita,2025-11-03 19:17:57
281.5,320.0,371.24,281.5,1025.73,60.01,49.09,27.32,60.01,13.34,Spike L,12807,jita,2025-11-03 20:25:20
280.4,320.0,371.34,281.5,1026.31,60.01,49.09,27.32,60.01,13.34,Spike L,12807,jita,2025-11-03 21:21:15
278.8,320.0,370.71,280.4,1023.36,80.13,49.09,27.85,80.13,15.69,Spike L,12807,jita,2025-11-03 22:21:48
277.0,320.0,370.69,280.4,1023.37,80.14,49.09,30.07,80.14,20.97,Spike L,12807,jita,2025-11-03 23:19:47
277.0,320.0,370.79,280.4,1023.81,80.14,49.09,30.07,80.14,20.97,Spike L,12807,jita,2025-11-04 01:24:32
277.0,320.0,370.8,280.4,1023.89,86.5,49.09,31.76,86.5,22.14,Spike L,12807,jita,2025-11-04 03:12:38
276.9,320.0,370.14,276.9,1023.95,86.5,49.09,31.76,86.5,22.14,Spike L,12807,jita,2025-11-04 04:24:23
276.9,320.0,370.14,276.9,1023.95,86.5,49.09,31.76,86.5,22.14,Spike L,12807,jita,2025-11-04 05:21:35
275.8,320.0,370.11,276.9,1023.96,86.5,49.09,31.76,86.5,22.14,Spike L,12807,jita,2025-11-04 06:31:53
275.8,320.0,370.11,276.9,1023.96,86.5,49.09,31.76,86.5,22.14,Spike L,12807,jita,2025-11-04 07:21:22
275.8,320.0,370.11,276.9,1023.96,86.5,49.09,31.76,86.5,22.14,Spike L,12807,jita,2025-11-04 08:28:50
274.0,320.0,370.09,275.8,1023.96,86.5,49.09,31.76,86.5,22.14,Spike L,12807,jita,2025-11-04 09:25:27
250.0,320.0,369.0,274.0,1020.23,86.5,49.09,30.63,86.5,21.72,Spike L,12807,jita,2025-11-04 10:26:06
250.0,320.0,369.05,274.0,1020.38,86.5,49.09,30.63,86.5,21.72,Spike L,12807,jita,2025-11-04 11:19:54
250.0,320.0,369.06,274.0,1020.4,86.5,49.09,30.63,86.5,21.72,Spike L,12807,jita,2025-11-04 12:43:22
250.0,320.0,369.06,274.0,1020.4,86.5,49.09,30.63,86.5,21.72,Spike L,12807,jita,2025-11-04 13:36:08
250.0,320.0,369.07,274.0,1020.45,87.1,49.09,30.64,87.1,21.78,Spike L,12807,jita,2025-11-04 14:22:49
250.0,320.0,369.07,274.0,1020.45,87.1,49.09,30.64,87.1,21.78,Spike L,12807,jita,2025-11-04 15:23:23
238.9,320.0,368.81,250.0,1020.48,87.2,49.09,33.08,87.2,24.21,Spike L,12807,jita,2025-11-04 16:26:46
238.9,320.0,368.81,250.0,1020.48,87.2,49.09,33.08,87.2,24.21,Spike L,12807,jita,2025-11-04 17:18:39
238.5,320.0,369.01,250.0,1022.18,87.45,49.09,32.95,87.45,24.17,Spike L,12807,jita,2025-11-04 18:30:50
