Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-29 18:40:36
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-29 18:34:32
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-29 19:18:19
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-29 20:25:34
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-29 21:21:26
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-29 22:21:16
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-29 23:21:10
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 01:28:14
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 03:13:52
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 04:25:00
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 05:21:59
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 06:32:22
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 07:21:19
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 08:28:24
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 09:24:30
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 10:23:49
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 11:19:42
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 12:41:19
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 13:33:41
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 14:22:24
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 15:24:47
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 16:26:42
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 17:20:45
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 18:29:54
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 19:18:36
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 20:24:07
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 21:19:47
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 22:21:04
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-30 23:20:20
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-31 01:24:57
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-31 03:14:01
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-31 04:25:53
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-31 05:22:56
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-31 06:31:34
945500.0,976700.0,1086920.43,945500.0,165906.52,700100.0,160400.0,3907.55,700100.0,317825.74,Target Painter II,19806,C-J6MT,2025-10-31 07:21:09
