Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
977800.0,1256000.0,1298255.94,978000.0,443491.5,881900.0,50.0,87.28,881900.0,179143.84,Target Painter II,19806,jita,2025-11-02 09:08:53
977700.0,1212000.0,1291881.42,977700.0,442985.41,881900.0,50.0,79.19,881800.0,157863.79,Target Painter II,19806,jita,2025-11-02 09:20:29
977500.0,1203000.0,1269838.89,977500.0,438536.85,881900.0,50.0,79.19,881800.0,157863.79,Target Painter II,19806,jita,2025-11-02 10:20:03
977400.0,1203000.0,1270036.5,977400.0,438656.78,881900.0,50.0,79.19,881800.0,157863.79,Target Painter II,19806,jita,2025-11-02 10:59:36
977400.0,1203000.0,1270036.5,977400.0,438656.78,881900.0,50.0,79.19,881800.0,157863.79,Target Painter II,19806,jita,2025-11-02 11:11:38
977400.0,1203000.0,1270320.35,977400.0,438723.98,881900.0,50.0,79.19,881800.0,157863.79,Target Painter II,19806,jita,2025-11-02 11:17:04
977300.0,1203000.0,1270402.43,977300.0,439036.64,881900.0,50.0,79.19,881800.0,157863.79,Target Painter II,19806,jita,2025-11-02 12:36:19
977000.0,1203000.0,1269655.83,977000.0,438890.71,881900.0,50.0,79.19,881800.0,157863.79,Target Painter II,19806,jita,2025-11-02 13:25:20
977000.0,1212000.0,1271798.36,977000.0,439392.95,881900.0,50.0,79.19,881800.0,157863.79,Target Painter II,19806,jita,2025-11-02 14:18:40
977400.0,1283000.0,1331988.11,977400.0,450366.19,881900.0,50.0,79.19,881800.0,157863.79,Target Painter II,19806,jita,2025-11-02 15:20:20
977300.0,1283000.0,1332754.5,977300.0,450482.69,881900.0,50.0,79.19,881800.0,157863.79,Target Painter II,19806,jita,2025-11-02 16:22:35
977300.0,1283000.0,1335082.75,977400.0,450660.78,881900.0,50.0,79.19,881800.0,157863.79,Target Painter II,19806,jita,2025-11-02 17:19:04
977300.0,1283000.0,1337441.49,977400.0,450828.43,881900.0,50.0,78.77,881800.0,156614.29,Target Painter II,19806,jita,2025-11-02 18:25:30
977400.0,1283000.0,1343362.81,977600.0,451194.15,881900.0,50.0,78.63,881800.0,156194.92,Target Painter II,19806,jita,2025-11-02 19:17:39
977400.0,1283000.0,1343585.81,977600.0,451206.38,881900.0,50.0,78.63,881800.0,156194.92,Target Painter II,19806,jita,2025-11-02 20:21:24
977600.0,1283000.0,1346962.94,977600.0,451378.33,881900.0,50.0,78.22,881800.0,154928.07,Target Painter II,19806,jita,2025-11-02 21:19:05
977600.0,1283000.0,1348101.9,977600.0,451430.93,881900.0,50.0,77.81,881800.0,153647.81,Target Painter II,19806,jita,2025-11-02 22:19:16
977500.0,1283000.0,1349005.63,977500.0,451479.8,881900.0,50.0,77.26,881800.0,151919.35,Target Painter II,19806,jita,2025-11-02 23:18:50
977400.0,1283000.0,1361833.07,977500.0,451845.56,881800.0,50.0,76.44,880300.0,149279.03,Target Painter II,19806,jita,2025-11-03 01:27:55
977500.0,1283000.0,1366306.54,977600.0,451888.74,881800.0,50.0,75.5,880300.0,146123.14,Target Painter II,19806,jita,2025-11-03 03:19:59
977500.0,1283000.0,1366809.97,977600.0,451890.92,881800.0,50.0,75.24,880300.0,145205.68,Target Painter II,19806,jita,2025-11-03 04:30:40
977000.0,1283000.0,1366557.71,977600.0,451890.17,881800.0,50.0,75.1,880300.0,144744.23,Target Painter II,19806,jita,2025-11-03 05:22:29
977500.0,1283000.0,1366809.97,977600.0,451890.92,881800.0,50.0,74.84,880300.0,143815.83,Target Painter II,19806,jita,2025-11-03 06:32:45
977500.0,1283000.0,1366809.97,977600.0,451890.92,881800.0,50.0,74.7,880300.0,143348.84,Target Painter II,19806,jita,2025-11-03 07:23:04
977500.0,1283000.0,1366809.97,977600.0,451890.92,881800.0,50.0,74.31,880300.0,141936.45,Target Painter II,19806,jita,2025-11-03 08:29:44
977400.0,1283000.0,1367296.01,977600.0,451905.85,881800.0,50.0,73.78,781500.0,140025.93,Target Painter II,19806,jita,2025-11-03 09:25:25
977400.0,1283000.0,1367802.16,977600.0,451906.87,881800.0,50.0,73.38,781500.0,138571.83,Target Painter II,19806,jita,2025-11-03 10:25:39
977500.0,1283000.0,1369328.23,977600.0,451906.78,881800.0,50.0,72.08,781500.0,133585.19,Target Painter II,19806,jita,2025-11-03 11:19:40
977600.0,1283000.0,1372934.42,977600.0,451887.68,881800.0,50.0,71.7,781500.0,132044.74,Target Painter II,19806,jita,2025-11-03 12:41:51
977500.0,1283000.0,1373959.56,977600.0,451889.35,881800.0,50.0,71.44,781500.0,131005.71,Target Painter II,19806,jita,2025-11-03 13:33:27
977600.0,1283000.0,1378566.07,977600.0,452041.56,881800.0,50.0,71.44,781500.0,131005.71,Target Painter II,19806,jita,2025-11-03 14:22:03
977500.0,1283000.0,1379259.95,977600.0,452096.59,881800.0,50.0,71.18,781500.0,129956.75,Target Painter II,19806,jita,2025-11-03 15:23:01
977500.0,1283000.0,1356687.01,977500.0,452054.39,881800.0,50.0,70.93,781500.0,128897.61,Target Painter II,19806,jita,2025-11-03 16:24:56
