Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
24450.0,24450.0,26271.41,24450.0,4100.55,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 09:08:58
24450.0,24450.0,26271.41,24450.0,4100.55,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 09:20:36
24450.0,24450.0,26273.14,24450.0,4101.94,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 10:20:09
24450.0,24450.0,26273.14,24450.0,4101.94,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 10:59:43
24450.0,24450.0,26273.14,24450.0,4101.94,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 11:11:45
24450.0,24450.0,26273.14,24450.0,4101.94,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 11:17:10
24450.0,24450.0,26273.14,24450.0,4101.94,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 12:36:26
24450.0,24450.0,26274.88,24450.0,4103.33,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 13:25:25
24450.0,24450.0,26277.78,24450.0,4105.66,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 14:18:46
24450.0,24450.0,26298.37,24450.0,4122.01,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 15:20:27
24450.0,24450.0,26301.35,24450.0,4124.36,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 16:22:41
24450.0,24450.0,26304.94,24450.0,4127.19,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 17:19:11
24450.0,24450.0,26307.34,24450.0,4129.07,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 18:25:36
24450.0,24450.0,26307.94,24450.0,4129.54,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 19:17:47
24450.0,24450.0,26308.54,24450.0,4130.02,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 20:21:30
24450.0,24450.0,26323.09,24450.0,4141.38,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 21:19:12
24450.0,24450.0,26323.09,24450.0,4141.38,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 22:19:21
24450.0,24450.0,26323.09,24450.0,4141.38,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-02 23:18:55
24450.0,24450.0,26329.21,24450.0,4146.14,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 01:28:00
20000.0,24450.0,26329.39,24450.0,4149.05,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 03:20:05
20000.0,24450.0,26329.39,24450.0,4149.05,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 04:30:45
20000.0,24450.0,26329.39,24450.0,4149.05,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 05:22:35
20000.0,24450.0,26329.39,24450.0,4149.05,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 06:32:51
20000.0,24450.0,26329.39,24450.0,4149.05,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 07:23:11
20000.0,24450.0,26329.39,24450.0,4149.05,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 08:29:49
24450.0,24450.0,26332.29,24450.0,4148.52,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 09:25:31
24450.0,24450.0,26335.38,24450.0,4150.91,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 10:25:45
24450.0,24450.0,26335.38,24450.0,4150.91,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 11:19:46
24450.0,24450.0,26336.62,24450.0,4151.86,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 12:41:57
24450.0,24450.0,26337.86,24450.0,4152.82,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 13:33:33
24450.0,24450.0,26339.1,24450.0,4153.78,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 14:22:09
24450.0,24450.0,26340.97,24450.0,4155.21,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 15:23:07
24450.0,24450.0,26344.09,24450.0,4157.61,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 16:25:02
24450.0,24450.0,26344.09,24450.0,4157.61,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 17:20:28
24450.0,24450.0,26344.09,24450.0,4157.61,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 18:29:22
24450.0,24450.0,26345.34,24450.0,4158.57,100.0,100.0,100.0,100.0,0.0,Tracking Speed Disruption Script,29007,C-J6MT,2025-11-03 19:18:09
