Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
7815.0,10970.0,11492.06,10150.0,892.56,7814.0,7813.0,5472.79,7814.0,2553.49,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 09:09:06
7815.0,10970.0,11492.06,10150.0,892.56,7814.0,7813.0,5472.97,7814.0,2553.42,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 09:20:48
10150.0,10970.0,11492.84,10150.0,892.09,7814.0,7813.0,5469.02,7814.0,2555.09,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 10:20:17
10150.0,10970.0,11492.94,10150.0,892.05,7814.0,7813.0,5457.75,7814.0,2559.83,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 10:59:55
10150.0,10970.0,11492.94,10150.0,892.05,7814.0,7813.0,5457.75,7814.0,2559.83,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 11:11:57
10000.0,10970.0,11492.75,10150.0,892.16,7814.0,7813.0,5456.2,7814.0,2560.48,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 11:17:20
10150.0,10970.0,11493.05,10150.0,892.0,7814.0,7813.0,5446.16,7814.0,2564.68,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 12:36:38
10150.0,10970.0,11493.22,10150.0,891.93,7814.0,7813.0,5436.93,7814.0,2568.51,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 13:25:33
10150.0,10970.0,11494.49,10150.0,891.38,7814.0,7813.0,5419.65,7813.0,2575.65,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 14:18:56
10150.0,10970.0,11495.54,10150.0,890.93,7813.0,7813.0,5403.97,7813.0,2582.06,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 15:20:38
10100.0,10970.0,11494.84,10150.0,891.26,7813.0,7813.0,5398.16,7813.0,2584.43,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 16:22:49
10150.0,10970.0,11496.39,10150.0,890.56,7813.0,7813.0,5394.66,7813.0,2585.85,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 17:19:23
10100.0,10970.0,11478.58,10100.0,898.75,7813.0,7813.0,5387.07,7813.0,2588.91,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 18:25:46
10100.0,10970.0,11480.12,10100.0,898.06,7813.0,7813.0,5373.03,7813.0,2594.56,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 19:17:58
10100.0,10970.0,11480.8,10100.0,897.75,7813.0,7813.0,5366.58,7813.0,2597.14,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 20:21:38
10100.0,10970.0,11481.05,10100.0,897.64,7813.0,7813.0,5357.21,7813.0,2600.86,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 21:19:24
10100.0,10970.0,11481.84,10150.0,897.28,7813.0,7813.0,5353.98,7813.0,2602.15,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 22:19:30
10100.0,10970.0,11492.73,10150.0,892.28,7813.0,7813.0,5348.4,7813.0,2604.35,X5 Enduring Stasis Webifier,4025,jita,2025-11-02 23:19:03
10100.0,10970.0,11493.6,10150.0,891.87,7814.0,7813.0,5564.64,7814.0,2513.7,X5 Enduring Stasis Webifier,4025,jita,2025-11-03 01:28:09
9999.0,10970.0,11468.46,9999.0,904.98,7815.0,7815.0,5549.67,7815.0,2521.28,X5 Enduring Stasis Webifier,4025,jita,2025-11-03 03:20:15
9999.0,10970.0,11472.39,10000.0,902.99,7817.0,7815.0,5546.18,7817.0,2523.09,X5 Enduring Stasis Webifier,4025,jita,2025-11-03 04:30:54
9999.0,10970.0,11472.73,10000.0,902.81,7817.0,7815.0,5541.63,7817.0,2525.09,X5 Enduring Stasis Webifier,4025,jita,2025-11-03 05:22:44
9999.0,10970.0,11473.04,10000.0,902.66,7817.0,7815.0,5540.59,7817.0,2525.55,X5 Enduring Stasis Webifier,4025,jita,2025-11-03 06:33:01
9999.0,10970.0,11473.42,10000.0,902.46,7817.0,7815.0,5536.22,7817.0,2527.46,X5 Enduring Stasis Webifier,4025,jita,2025-11-03 07:23:23
9999.0,10970.0,11473.58,10000.0,902.38,7817.0,7815.0,5531.0,7817.0,2529.74,X5 Enduring Stasis Webifier,4025,jita,2025-11-03 08:29:58
9999.0,10970.0,11474.0,10000.0,902.17,7817.0,7815.0,5521.12,7817.0,2534.03,X5 Enduring Stasis Webifier,4025,jita,2025-11-03 09:25:39
