Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
90000000.0,98600000.0,98482754.96,90000000.0,3478394.47,84300000.0,78960000.0,70018314.23,84300000.0,12501357.48,Zor's Custom Navigation Hyper-Link,24663,jita,2025-11-02 09:09:07
90000000.0,98600000.0,98482754.96,90000000.0,3478394.47,84300000.0,78960000.0,69926196.5,84300000.0,12523546.09,Zor's Custom Navigation Hyper-Link,24663,jita,2025-11-02 09:20:49
94000000.0,98700000.0,98789110.39,94000000.0,3142774.89,84310000.0,79120000.0,70287967.84,84310000.0,12434792.89,Zor's Custom Navigation Hyper-Link,24663,jita,2025-11-02 10:20:18
95250000.0,98770000.0,98875272.29,95250000.0,3103043.32,84320000.0,79120000.0,70632263.56,84320000.0,12345904.71,Zor's Custom Navigation Hyper-Link,24663,jita,2025-11-02 10:59:56
95250000.0,98770000.0,98875272.29,95250000.0,3103043.32,84320000.0,79120000.0,70632263.56,84320000.0,12345904.71,Zor's Custom Navigation Hyper-Link,24663,jita,2025-11-02 11:11:58
95250000.0,98770000.0,98875272.29,95250000.0,3103043.32,84330000.0,79120000.0,70960333.29,84330000.0,12257173.12,Zor's Custom Navigation Hyper-Link,24663,jita,2025-11-02 11:17:21
95250000.0,98770000.0,99080674.41,95250000.0,3061021.94,84330000.0,79120000.0,70960333.29,84330000.0,12257173.12,Zor's Custom Navigation Hyper-Link,24663,jita,2025-11-02 12:36:39
98400000.0,98770000.0,99352807.71,98400000.0,3085572.4,84360000.0,79120000.0,71572647.84,84360000.0,12081403.47,Zor's Custom Navigation Hyper-Link,24663,jita,2025-11-02 13:25:34
98600000.0,99100000.0,99698344.07,98600000.0,3559714.77,84360000.0,79120000.0,71572647.84,84360000.0,12081403.47,Zor's Custom Navigation Hyper-Link,24663,jita,2025-11-02 14:18:57
98570000.0,99000000.0,99467417.89,98570000.0,3201666.41,84380000.0,80650000.0,71717463.93,84380000.0,12038045.83,Zor's Custom Navigation Hyper-Link,24663,jita,2025-11-02 15:20:40
98580000.0,99000000.0,99556850.36,98580000.0,3347160.26,88000000.0,80650000.0,72069789.4,88000000.0,12019689.27,Zor's Custom Navigation Hyper-Link,24663,jita,2025-11-02 16:22:50
98580000.0,99000000.0,99636477.4,98580000.0,3470210.66,88010000.0,80650000.0,72397098.72,88010000.0,12068175.26,Zor's Custom Navigation Hyper-Link,24663,jita,2025-11-02 17:19:24
98770000.0,99150000.0,100009605.14,98770000.0,4010965.45,88030000.0,80650000.0,72470572.88,88030000.0,12133400.88,Zor's Custom Navigation Hyper-Link,24663,jita,2025-11-02 18:25:47
98000000.0,99150000.0,100033315.65,98000000.0,4092878.94,88050000.0,80650000.0,72377529.08,88050000.0,12214105.15,Zor's Custom Navigation Hyper-Link,24663,jita,2025-11-02 19:17:59
98910000.0,99150000.0,100115115.16,98910000.0,4154358.47,88070000.0,80650000.0,72433175.95,88070000.0,12262933.88,Zor's Custom Navigation Hyper-Link,24663,jita,2025-11-02 20:21:39
99000000.0,99150000.0,100383166.8,99000000.0,4742172.0,88090000.0,80650000.0,72423566.07,88090000.0,12336618.25,Zor's Custom Navigation Hyper-Link,24663,jita,2025-11-02 21:19:25
