Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
13500.0,13880.0,14111.97,13500.0,8278.29,12350.0,29.0,186.71,12350.0,5244.78,Coolant,9832,jita,2025-11-02 09:05:29
13490.0,13860.0,14102.55,13490.0,8217.84,12350.0,29.0,186.71,12350.0,5244.78,Coolant,9832,jita,2025-11-02 09:15:54
13440.0,13790.0,14051.53,13450.0,8130.65,12350.0,29.0,186.71,12350.0,5244.78,Coolant,9832,jita,2025-11-02 10:16:38
13450.0,13790.0,14057.81,13450.0,8171.08,12350.0,29.0,186.71,12350.0,5244.78,Coolant,9832,jita,2025-11-02 10:55:00
13450.0,13790.0,14057.81,13450.0,8171.08,12350.0,29.0,186.71,12350.0,5244.78,Coolant,9832,jita,2025-11-02 11:07:04
13440.0,13790.0,14056.43,13440.0,8174.4,12350.0,29.0,186.71,12350.0,5244.78,Coolant,9832,jita,2025-11-02 11:13:08
13300.0,13690.0,13994.46,13370.0,7856.01,12350.0,29.0,186.71,12350.0,5244.78,Coolant,9832,jita,2025-11-02 12:31:46
13350.0,13640.0,13966.59,13350.0,7691.08,12350.0,29.0,186.71,12350.0,5244.78,Coolant,9832,jita,2025-11-02 13:21:57
13340.0,13640.0,13966.45,13350.0,7690.22,12350.0,29.0,186.71,12350.0,5244.78,Coolant,9832,jita,2025-11-02 14:14:45
13320.0,13640.0,13960.24,13350.0,7655.38,12350.0,29.0,132.93,12350.0,5075.79,Coolant,9832,jita,2025-11-02 15:15:46
12510.0,13600.0,13945.43,13300.0,7611.12,12350.0,29.0,132.93,12350.0,5075.79,Coolant,9832,jita,2025-11-02 16:19:06
13260.0,13530.0,13923.85,13260.0,7473.91,12350.0,29.0,132.93,12350.0,5075.79,Coolant,9832,jita,2025-11-02 17:14:21
13250.0,13470.0,13915.16,13250.0,7474.76,12350.0,29.0,132.93,12350.0,5075.79,Coolant,9832,jita,2025-11-02 18:21:37
13200.0,13470.0,13907.21,13220.0,7437.04,12350.0,29.0,132.93,12350.0,5075.79,Coolant,9832,jita,2025-11-02 19:13:01
13190.0,13470.0,13884.7,13190.0,7324.91,12350.0,29.0,132.93,12350.0,5075.79,Coolant,9832,jita,2025-11-02 20:17:54
13150.0,13470.0,13780.01,13150.0,6787.89,12350.0,29.0,132.93,12350.0,5075.79,Coolant,9832,jita,2025-11-02 21:14:30
13100.0,13470.0,13795.94,13150.0,6942.12,12350.0,29.0,132.93,12350.0,5075.79,Coolant,9832,jita,2025-11-02 22:15:43
13140.0,13470.0,13797.53,13150.0,6949.7,12350.0,29.0,132.93,12350.0,5075.79,Coolant,9832,jita,2025-11-02 23:15:24
13170.0,13470.0,13809.33,13180.0,7009.78,12350.0,29.0,132.93,12350.0,5075.79,Coolant,9832,jita,2025-11-03 01:24:32
13150.0,13470.0,13799.17,13150.0,6957.92,12350.0,29.0,132.93,12350.0,5075.79,Coolant,9832,jita,2025-11-03 03:16:08
13150.0,13470.0,13801.02,13170.0,6967.37,12350.0,29.0,132.93,12350.0,5075.79,Coolant,9832,jita,2025-11-03 04:27:09
13180.0,13470.0,13860.83,13180.0,7278.48,12350.0,29.0,132.93,12350.0,5075.79,Coolant,9832,jita,2025-11-03 05:18:54
13190.0,13580.0,13941.21,13190.0,7686.45,12350.0,29.0,132.93,12350.0,5075.79,Coolant,9832,jita,2025-11-03 06:28:41
