Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-29 13:53:47
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-29 13:56:59
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-29 14:08:10
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-29 15:14:22
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-29 15:21:01
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-29 16:24:30
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-29 17:17:34
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-29 18:31:00
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-29 19:14:31
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-29 20:20:47
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-29 21:16:49
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-29 22:17:30
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-29 23:17:24
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-30 01:23:38
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-30 03:10:19
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-30 04:21:15
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-30 05:17:59
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-30 06:27:35
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-30 07:17:33
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-30 08:23:47
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-30 09:19:53
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-30 10:19:45
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-30 11:15:57
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-30 12:37:33
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-30 13:30:04
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-30 14:18:52
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-30 15:20:58
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-30 16:23:04
149.9,149.9,162.29,149.9,32.53,131.1,104.8,92.5,131.1,27.22,Heavy Water,16272,amarr,2025-10-30 17:16:58
