Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-29 13:53:47
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-29 13:56:59
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-29 14:08:10
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-29 15:14:22
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-29 15:21:01
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-29 16:24:30
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-29 17:17:34
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-29 18:31:00
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-29 19:14:31
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-29 20:20:47
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-29 21:16:49
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-29 22:17:30
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-29 23:17:24
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 01:23:38
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 03:10:19
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 04:21:15
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 05:17:59
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 06:27:35
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 07:17:33
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 08:23:47
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 09:19:53
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 10:19:45
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 11:15:57
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 12:37:33
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 13:30:04
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 14:18:52
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 15:20:58
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 16:23:04
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 17:16:58
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 18:26:20
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 19:14:48
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 20:20:03
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 21:16:10
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 22:17:18
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-30 23:16:42
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 01:20:58
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 03:09:55
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 04:22:16
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 05:18:56
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 06:27:49
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 07:17:23
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 08:23:42
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 09:20:00
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 10:19:25
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 11:15:44
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 12:37:29
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 13:29:19
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 14:18:24
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 15:17:53
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 16:22:44
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 17:17:21
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 18:26:43
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 19:13:24
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 20:20:34
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 21:15:40
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 22:17:22
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-10-31 23:16:45
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-11-01 01:25:08
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-11-01 03:10:39
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-11-01 04:19:23
146.3,155.0,158.45,146.3,11.98,125.7,96.3,87.39,125.6,24.92,Heavy Water,16272,dodixie,2025-11-01 05:17:04
