Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-29 13:54:17
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-29 13:57:29
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-29 14:08:42
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-29 15:14:41
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-29 15:21:15
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-29 16:24:46
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-29 17:17:47
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-29 18:31:13
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-29 19:14:45
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-29 20:21:04
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-29 21:17:06
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-29 22:17:44
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-29 23:17:38
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-30 01:23:55
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-30 03:10:33
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-30 04:21:29
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-30 05:18:13
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-30 06:27:52
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-30 07:17:47
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-30 08:24:04
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-30 09:20:10
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-30 10:20:02
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-30 11:16:10
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-30 12:37:47
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-30 13:30:18
24230.0,24760.0,25809.22,24230.0,1078132.03,22450.0,0.01,0.01,0.01,1422.03,Helium Fuel Block,4247,jita,2025-10-30 14:19:06
