Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
130.5,173.0,168.92,145.0,1134.61,130.4,25.02,29.03,130.4,29.07,Liquid Ozone,16273,jita,2025-11-02 09:05:34
130.5,173.0,168.93,145.0,1134.64,130.4,25.02,28.97,130.4,28.89,Liquid Ozone,16273,jita,2025-11-02 09:16:00
130.5,173.0,168.93,145.0,1134.68,130.4,25.02,28.95,130.4,28.81,Liquid Ozone,16273,jita,2025-11-02 10:16:42
130.5,173.0,168.93,145.0,1134.7,130.4,25.02,28.92,130.4,28.7,Liquid Ozone,16273,jita,2025-11-02 10:55:07
130.5,173.0,168.93,145.0,1134.7,130.4,25.02,28.92,130.4,28.7,Liquid Ozone,16273,jita,2025-11-02 11:07:10
130.5,173.0,168.94,145.0,1134.82,130.4,25.02,28.92,130.4,28.7,Liquid Ozone,16273,jita,2025-11-02 11:13:13
130.5,173.0,168.94,145.0,1134.85,130.4,25.02,28.83,130.4,28.42,Liquid Ozone,16273,jita,2025-11-02 12:31:51
145.0,173.0,168.96,145.0,1135.14,130.4,25.02,28.81,130.4,28.32,Liquid Ozone,16273,jita,2025-11-02 13:22:02
145.0,173.0,168.96,145.0,1135.15,130.4,25.02,28.73,130.4,28.04,Liquid Ozone,16273,jita,2025-11-02 14:14:51
145.0,173.0,168.99,145.0,1135.79,125.8,25.02,28.08,125.8,25.62,Liquid Ozone,16273,jita,2025-11-02 15:15:52
145.0,173.0,169.02,145.0,1136.38,125.8,25.02,28.08,125.8,25.62,Liquid Ozone,16273,jita,2025-11-02 16:19:11
145.0,173.0,169.02,145.0,1136.49,125.8,25.02,28.08,125.8,25.62,Liquid Ozone,16273,jita,2025-11-02 17:14:27
126.2,173.0,169.02,145.0,1136.53,125.8,25.02,28.08,125.8,25.62,Liquid Ozone,16273,jita,2025-11-02 18:21:42
136.0,173.0,168.97,145.0,1135.71,125.8,25.02,28.08,125.8,25.62,Liquid Ozone,16273,jita,2025-11-02 19:13:07
136.0,173.0,168.98,145.0,1135.86,126.2,25.02,28.74,126.2,27.94,Liquid Ozone,16273,jita,2025-11-02 20:17:59
136.0,173.0,168.97,145.0,1135.74,126.2,25.02,28.72,126.2,27.85,Liquid Ozone,16273,jita,2025-11-02 21:14:35
136.0,173.0,168.97,145.0,1135.76,126.2,25.02,28.71,126.2,27.83,Liquid Ozone,16273,jita,2025-11-02 22:15:47
136.0,173.0,169.0,145.0,1136.2,126.2,25.02,28.67,126.2,27.68,Liquid Ozone,16273,jita,2025-11-02 23:15:28
126.4,173.0,169.0,145.0,1136.07,126.3,25.02,29.26,126.3,29.54,Liquid Ozone,16273,jita,2025-11-03 01:24:36
144.8,173.0,169.03,145.0,1136.66,126.5,25.02,30.41,126.5,32.63,Liquid Ozone,16273,jita,2025-11-03 03:16:12
144.9,173.0,169.05,145.0,1137.13,126.5,25.02,30.34,126.5,32.46,Liquid Ozone,16273,jita,2025-11-03 04:27:14
144.9,173.0,169.05,145.0,1137.17,126.5,25.02,30.33,126.5,32.45,Liquid Ozone,16273,jita,2025-11-03 05:18:58
144.9,173.0,169.05,145.0,1137.21,126.5,25.02,30.33,126.5,32.45,Liquid Ozone,16273,jita,2025-11-03 06:28:46
144.8,173.0,169.05,145.0,1137.08,126.5,25.02,30.33,126.5,32.45,Liquid Ozone,16273,jita,2025-11-03 07:18:30
144.5,173.0,169.06,145.0,1137.25,126.6,25.02,30.32,126.6,32.43,Liquid Ozone,16273,jita,2025-11-03 08:26:19
126.7,173.0,168.76,144.0,1131.1,126.6,25.02,30.22,126.6,32.18,Liquid Ozone,16273,jita,2025-11-03 09:22:06
143.9,173.0,168.77,144.0,1131.27,126.6,25.02,30.21,126.6,32.16,Liquid Ozone,16273,jita,2025-11-03 10:21:19
143.9,173.0,168.77,144.0,1131.27,126.6,25.02,30.17,126.5,32.06,Liquid Ozone,16273,jita,2025-11-03 11:15:49
143.9,173.0,168.78,144.0,1131.38,126.6,25.02,30.13,126.5,31.95,Liquid Ozone,16273,jita,2025-11-03 12:38:25
144.0,173.0,168.78,144.0,1131.48,126.9,25.02,30.7,126.9,33.37,Liquid Ozone,16273,jita,2025-11-03 13:29:42
143.7,173.0,168.76,144.0,1130.95,127.1,25.02,30.71,127.1,33.41,Liquid Ozone,16273,jita,2025-11-03 14:18:38
