Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
22000.0,23900.0,28866.89,22000.0,14764.97,21760.0,0.02,0.03,21300.0,3351.66,Morphite,11399,jita,2025-11-02 09:05:50
22000.0,23900.0,28942.82,22000.0,14808.23,21760.0,0.02,0.03,21300.0,3389.14,Morphite,11399,jita,2025-11-02 09:16:23
22470.0,23900.0,29091.95,22480.0,14894.01,21760.0,0.02,0.03,21300.0,3391.0,Morphite,11399,jita,2025-11-02 10:17:00
22470.0,23900.0,29048.9,22480.0,14866.81,21810.0,0.02,0.03,21300.0,3400.32,Morphite,11399,jita,2025-11-02 10:55:28
22470.0,23900.0,29048.9,22480.0,14866.81,21810.0,0.02,0.03,21300.0,3400.32,Morphite,11399,jita,2025-11-02 11:07:32
22480.0,23900.0,29139.34,22480.0,14923.72,21830.0,0.02,0.03,21430.0,3418.92,Morphite,11399,jita,2025-11-02 11:13:34
22480.0,23900.0,29280.44,22690.0,15021.26,21930.0,0.02,0.03,21430.0,3429.97,Morphite,11399,jita,2025-11-02 12:32:13
22690.0,23900.0,29330.86,22900.0,15052.46,21930.0,0.02,0.03,21430.0,3429.97,Morphite,11399,jita,2025-11-02 13:22:18
22680.0,23900.0,29319.72,22700.0,15045.44,22020.0,0.02,0.03,21430.0,3430.36,Morphite,11399,jita,2025-11-02 14:15:11
22680.0,23900.0,29353.49,22900.0,15066.83,22030.0,0.02,0.03,21300.0,3400.81,Morphite,11399,jita,2025-11-02 15:16:13
22900.0,23900.0,29447.53,22900.0,15127.74,22100.0,0.02,0.03,21430.0,3419.8,Morphite,11399,jita,2025-11-02 16:19:28
22900.0,23900.0,29459.61,22900.0,15135.69,22160.0,0.02,0.03,21430.0,3417.27,Morphite,11399,jita,2025-11-02 17:14:50
22900.0,23900.0,29510.94,22900.0,15169.24,22220.0,0.02,0.03,21430.0,3421.75,Morphite,11399,jita,2025-11-02 18:22:02
22900.0,23900.0,29568.04,22900.0,15206.11,22230.0,0.02,0.03,21430.0,3428.16,Morphite,11399,jita,2025-11-02 19:13:29
22900.0,23900.0,29606.69,22900.0,15230.79,22230.0,0.02,0.03,21430.0,3428.15,Morphite,11399,jita,2025-11-02 20:18:17
22900.0,23900.0,29629.38,22900.0,15245.18,22230.0,0.02,0.03,21430.0,3428.15,Morphite,11399,jita,2025-11-02 21:14:57
22900.0,23900.0,29644.87,22900.0,15254.97,22230.0,0.02,0.03,21430.0,3428.15,Morphite,11399,jita,2025-11-02 22:16:05
22900.0,23900.0,29651.1,22900.0,15258.89,22450.0,0.02,0.03,21430.0,3447.05,Morphite,11399,jita,2025-11-02 23:15:46
22500.0,23900.0,29641.37,22500.0,15280.75,22490.0,0.02,0.03,21430.0,3446.36,Morphite,11399,jita,2025-11-03 01:24:52
22500.0,23900.0,29743.86,22900.0,15337.64,22230.0,0.02,0.03,21400.0,3406.62,Morphite,11399,jita,2025-11-03 03:16:30
22900.0,23900.0,29789.23,22900.0,15363.09,22230.0,0.02,0.03,21400.0,3406.62,Morphite,11399,jita,2025-11-03 04:27:32
22900.0,23900.0,29802.23,22900.0,15371.02,22360.0,0.02,0.03,21400.0,3410.39,Morphite,11399,jita,2025-11-03 05:19:16
22900.0,23900.0,30091.36,22900.0,15541.49,22380.0,0.02,0.03,21400.0,3410.49,Morphite,11399,jita,2025-11-03 06:29:05
22890.0,24670.0,30096.33,22900.0,15544.34,22400.0,0.02,0.03,21430.0,3419.64,Morphite,11399,jita,2025-11-03 07:18:51
22900.0,24670.0,30114.38,22940.0,15554.58,22400.0,0.02,0.03,21430.0,3419.57,Morphite,11399,jita,2025-11-03 08:26:36
22950.0,24670.0,30213.38,23000.0,15610.26,22400.0,0.02,0.03,21430.0,3419.57,Morphite,11399,jita,2025-11-03 09:22:22
22950.0,24670.0,30223.98,23000.0,15616.21,22430.0,0.02,0.03,21430.0,3420.54,Morphite,11399,jita,2025-11-03 10:21:41
