Sell_Min,Sell_Median,Sell_Average,Sell_1st Percentile,Sell_Standard Deviation,Buy_Max,Buy_Median,Buy_Average,Buy_99th Percentile,Buy_Standard Deviation,Item,TypeID,Region,Timestamp
4.98,5.1,5.33,4.98,43.11,4.06,3.91,3.51,4.06,0.58,Tritanium,34,C-J6MT,2025-11-02 09:05:44
4.99,5.1,5.34,4.99,44.14,4.06,3.91,3.51,4.06,0.58,Tritanium,34,C-J6MT,2025-11-02 09:16:15
4.97,5.0,5.28,4.97,40.57,4.06,3.91,3.51,4.06,0.58,Tritanium,34,C-J6MT,2025-11-02 10:16:54
4.97,5.0,5.28,4.97,40.57,4.06,3.91,3.5,4.06,0.58,Tritanium,34,C-J6MT,2025-11-02 10:55:20
4.97,5.0,5.28,4.97,40.57,4.06,3.91,3.5,4.06,0.58,Tritanium,34,C-J6MT,2025-11-02 11:07:24
4.97,5.0,5.28,4.97,40.57,4.06,3.91,3.5,4.06,0.58,Tritanium,34,C-J6MT,2025-11-02 11:13:27
4.97,5.0,5.28,4.97,40.57,4.07,3.91,3.53,4.07,0.58,Tritanium,34,C-J6MT,2025-11-02 12:32:05
4.96,5.0,5.28,4.96,40.46,4.07,3.91,3.53,4.07,0.58,Tritanium,34,C-J6MT,2025-11-02 13:22:12
4.96,5.0,5.28,4.96,40.47,4.07,3.91,3.53,4.07,0.58,Tritanium,34,C-J6MT,2025-11-02 14:15:03
4.96,5.0,5.28,4.97,40.51,4.07,3.91,3.53,4.07,0.58,Tritanium,34,C-J6MT,2025-11-02 15:16:05
4.95,5.0,5.28,4.97,40.51,4.07,3.91,3.54,4.07,0.57,Tritanium,34,C-J6MT,2025-11-02 16:19:22
4.96,5.1,5.3,4.97,41.6,4.08,3.91,3.54,4.08,0.58,Tritanium,34,C-J6MT,2025-11-02 17:14:41
