Item,TypeID,Volume_m3,Region_1,Region_2,Buy1,Sell1,Buy2,Sell2,Fee_per_m3,Profit_1,Profit_2,Profit_3,Profit_4,ROI_1,ROI_2,ROI_3,ROI_4,Timestamp
True Sansha Warp Disruptor,14248,5.0,jita,C-J6MT,125100000.0,133000000.0,14140000.0,159100000.0,1200,-110966000.0,-118866000.0,33994000.0,26094000.0,-0.8869758444838777,-0.8936890065109845,0.27172158010007513,0.19618663819677307,2025-11-03 03:20:34.208176
Pithum A-Type EM Shield Amplifier,19231,5.0,jita,C-J6MT,86340000.0,98370000.0,21810000.0,115500000.0,1200,-64536000.0,-76566000.0,29154000.0,17124000.0,-0.7474115766798693,-0.7782995852646987,0.3376415815440206,0.17406684557209076,2025-11-03 03:20:34.070754
Warp Disruption Field Generator II,4248,50.0,jita,C-J6MT,3677000.0,11440000.0,5013000.0,16340000.0,1200,1276000.0,-6487000.0,12603000.0,4840000.0,0.34145036125234146,-0.5640869565217391,3.3724913031843724,0.42086956521739133,2025-11-03 03:20:34.214536
Zor's Custom Navigation Hyper-Link,24663,1.0,jita,C-J6MT,88140000.0,99120000.0,0.0,99990000.0,1200,-88141200.0,-99121200.0,11848800.0,868800.0,-1.0,-1.0,0.13442975589168288,0.008765027057783804,2025-11-03 03:20:34.224919
Agency 'Overclocker' SB7 Dose III,46006,1.0,jita,C-J6MT,9579000.0,11030000.0,8012000.0,19060000.0,1200,-1568200.0,-3019200.0,9479800.0,8028800.0,-0.16369178096490677,-0.2736964246863442,0.9895200517734494,0.7278265283921966,2025-11-03 03:20:33.788528
Republic Fleet Medium Shield Extender,31928,10.0,jita,C-J6MT,16040000.0,18270000.0,6221000.0,23770000.0,1200,-9831000.0,-12061000.0,7718000.0,5488000.0,-0.612447047096935,-0.659719943113445,0.4808123598305507,0.300185975276228,2025-11-03 03:20:34.108164
Republic Fleet Large Shield Extender,31932,20.0,jita,C-J6MT,29340000.0,32650000.0,15070000.0,36200000.0,1200,-14294000.0,-17604000.0,6836000.0,3526000.0,-0.48678654134314125,-0.538777009242823,0.23280207056259367,0.107914549794944,2025-11-03 03:20:34.106109
Eifyr and Co. 'Rogue' Navigation NN-603,13237,1.0,jita,C-J6MT,16020000.0,17820000.0,20000000.0,21050000.0,1200,3978800.0,2178800.0,5028800.0,3228800.0,0.24834594162734377,0.12225888267905641,0.3138841035627793,0.18117747401970685,2025-11-03 03:20:33.886772
Medium Core Defense Field Extender II,31796,10.0,jita,C-J6MT,13720000.0,14730000.0,12670000.0,17000000.0,1200,-1062000.0,-2072000.0,3268000.0,2258000.0,-0.077337605592776,-0.14055080721747387,0.23798427031750655,0.1531678198344865,2025-11-03 03:20:33.993537
Defender Launcher I,44102,5.0,jita,C-J6MT,5739000.0,7083000.0,3097000.0,8960000.0,1200,-2648000.0,-3992000.0,3215000.0,1871000.0,-0.4609225413402959,-0.5631259698123854,0.5596170583115753,0.26393003244463253,2025-11-03 03:20:33.869921
Medium Proton Smartbomb II,3939,10.0,jita,C-J6MT,56060.0,898200.0,2330.0,2998000.0,1200,-65730.0,-907870.0,2929940.0,2087800.0,-0.9657655010285042,-0.9974401230498792,43.04936820452542,2.2937815864645135,2025-11-03 03:20:34.010232
Large Ancillary Remote Shield Booster,41482,25.0,jita,C-J6MT,800600.0,2489000.0,2000000.0,3388000.0,1200,1169400.0,-519000.0,2557400.0,869000.0,1.4078979051288225,-0.20603414053195712,3.0789790512882256,0.34497816593886466,2025-11-03 03:20:33.960053
Medium EM Shield Reinforcer II,31724,10.0,jita,C-J6MT,3203000.0,3430000.0,2503000.0,5711000.0,1200,-712000.0,-939000.0,2496000.0,2269000.0,-0.22146189735614308,-0.27280650784427657,0.7763608087091758,0.6592097617664149,2025-11-03 03:20:33.997715
Heavy Energy Neutralizer II,12271,5.0,jita,C-J6MT,5202000.0,5885000.0,3617000.0,7173000.0,1200,-1591000.0,-2274000.0,1965000.0,1282000.0,-0.3054915514592934,-0.3860125615345442,0.3773041474654378,0.21762009845527075,2025-11-03 03:20:33.918205
Medium Plasma Smartbomb II,3949,10.0,jita,C-J6MT,101000.0,895900.0,233.0,1889000.0,1200,-112767.0,-907667.0,1776000.0,981100.0,-0.9979380530973452,-0.9997433638065867,15.716814159292035,1.0806256195616257,2025-11-03 03:20:34.008107
1400mm Howitzer Artillery II,2961,20.0,jita,C-J6MT,6228000.0,6820000.0,5633000.0,7914000.0,1200,-619000.0,-1211000.0,1662000.0,1070000.0,-0.0990083173384517,-0.17694330800701344,0.2658349328214971,0.15634132086499122,2025-11-03 03:20:33.756908
Small Particle Dispersion Projector II,31304,5.0,jita,C-J6MT,1602000.0,2327000.0,200000.0,2911000.0,1200,-1408000.0,-2133000.0,1303000.0,578000.0,-0.8756218905472637,-0.914273467638234,0.8103233830845771,0.24774967852550364,2025-11-03 03:20:34.168306
Small Core Defense Field Extender II,31794,5.0,jita,C-J6MT,4964000.0,6197000.0,3205000.0,6111000.0,1200,-1765000.0,-2998000.0,1141000.0,-92000.0,-0.3551307847082495,-0.48331452522972757,0.2295774647887324,-0.014831533129131066,2025-11-03 03:20:34.159964
