Item,TypeID,Volume_m3,Region_1,Region_2,Buy1,Sell1,Buy2,Sell2,Fee_per_m3,Profit_1,Profit_2,Profit_3,Profit_4,ROI_1,ROI_2,ROI_3,ROI_4,Timestamp
Nitrogen Isotopes,17888,0.03,jita,C-J6MT,841.1,888.0,939.0,989.7,1200,61.89999999999998,15.0,112.60000000000002,65.70000000000005,0.0705734807889636,0.016233766233766232,0.12837760802645082,0.07110389610389616,2025-12-23 01:32:23.980656
Oxygen Isotopes,17887,0.03,jita,C-J6MT,901.7,927.7,931.0,931.1,1200,-6.7000000000000455,-32.700000000000045,-6.600000000000023,-32.60000000000002,-0.007145142369627861,-0.03393172149009032,-0.007038498453663242,-0.033827954757704705,2025-12-23 01:32:23.984845
Helium Isotopes,16274,0.03,jita,C-J6MT,930.3,965.0,809.2,1006.0,1200,-157.0999999999999,-191.79999999999995,39.700000000000045,5.0,-0.1625789092414363,-0.19160839160839158,0.04108454931180797,0.004995004995004995,2025-12-23 01:32:23.972297
Hydrogen Isotopes,17889,0.03,jita,C-J6MT,691.1,714.0,556.1,728.4,1200,-171.0,-193.89999999999998,1.2999999999999545,-21.600000000000023,-0.2351808554531701,-0.2585333333333333,0.001787924632100061,-0.02880000000000003,2025-12-23 01:32:23.976455
Oxygen,3683,0.19,jita,C-J6MT,352.3,381.1,369.3,378.5,1200,-210.99999999999994,-239.8,-201.79999999999995,-230.60000000000002,-0.363605031880062,-0.39369561648333606,-0.34775116319145266,-0.37859136430799545,2025-12-23 01:32:23.938487
Enriched Uranium,44,0.75,jita,C-J6MT,9527.0,10430.0,9939.0,10990.0,1200,-488.0,-1391.0,563.0,-340.0,-0.046801572839742976,-0.12277140335392762,0.05399443751798216,-0.03000882612533098,2025-12-23 01:32:23.947206
Liquid Ozone,16273,0.4,jita,C-J6MT,106.1,106.2,66.62,94.82,1200,-519.48,-519.58,-491.28000000000003,-491.38000000000005,-0.8863333902064494,-0.8863527806209485,-0.8382187340044361,-0.838246332309792,2025-12-23 01:32:23.959771
Heavy Water,16272,0.4,jita,C-J6MT,98.1,99.99,14.0,14.01,1200,-564.1,-565.99,-564.09,-565.98,-0.9757827365507697,-0.975861652787117,-0.975765438505449,-0.9758444111105364,2025-12-23 01:32:23.963759
Coolant,9832,0.75,jita,C-J6MT,9347.0,10780.0,9408.0,14250.0,1200,-839.0,-2272.0,4003.0,2570.0,-0.08187762271884454,-0.19452054794520549,0.3906509222211379,0.22003424657534246,2025-12-23 01:32:23.942867
Mechanical Parts,3689,0.75,jita,C-J6MT,9086.0,11000.0,8906.0,13500.0,1200,-1080.0,-2994.0,3514.0,1600.0,-0.10815141197676748,-0.25159663865546217,0.35189264970959344,0.13445378151260504,2025-12-23 01:32:23.951579
Nitrogen Fuel Block,4051,5.0,jita,C-J6MT,19940.0,20030.0,22000.0,24460.0,1200,-3940.0,-4030.0,-1480.0,-1570.0,-0.15188897455666925,-0.15482135996926624,-0.05705474171164225,-0.060315021129466004,2025-12-23 01:32:23.997791
Oxygen Fuel Block,4312,5.0,jita,C-J6MT,19980.0,20090.0,22020.0,24000.0,1200,-3960.0,-4070.0,-1980.0,-2090.0,-0.15242494226327943,-0.1559984668455347,-0.07621247113163972,-0.08010732081257187,2025-12-23 01:32:24.002098
Robotics,9848,3.0,jita,C-J6MT,73390.0,79630.0,73000.0,77900.0,1200,-3990.0,-10230.0,910.0,-5330.0,-0.05182491232627614,-0.12291241139012375,0.011819716846343682,-0.06403940886699508,2025-12-23 01:32:23.955788
Helium Fuel Block,4247,5.0,jita,C-J6MT,20000.0,21850.0,21290.0,24840.0,1200,-4710.0,-6560.0,-1160.0,-3010.0,-0.18115384615384617,-0.2355475763016158,-0.04461538461538461,-0.1080789946140036,2025-12-23 01:32:23.989161
Strontium Clathrates,16275,3.0,jita,C-J6MT,3798.0,3799.0,2003.0,2790.0,1200,-5395.0,-5396.0,-4608.0,-4609.0,-0.7292511489591782,-0.729287741586701,-0.6228710462287105,-0.6229220164887147,2025-12-23 01:32:23.968054
Hydrogen Fuel Block,4246,5.0,jita,C-J6MT,18960.0,19970.0,15920.0,17000.0,1200,-9040.0,-10050.0,-7960.0,-8970.0,-0.36217948717948717,-0.3869849826723142,-0.3189102564102564,-0.34539853677319987,2025-12-23 01:32:23.993575
