Item,TypeID,Volume_m3,Region_1,Region_2,Buy1,Sell1,Buy2,Sell2,Fee_per_m3,Profit_1,Profit_2,Profit_3,Profit_4,ROI_1,ROI_2,ROI_3,ROI_4,Timestamp
Nitrogen Isotopes,17888,0.03,jita,C-J6MT,840.2,867.0,937.3,991.1,1200,61.09999999999991,34.299999999999955,114.89999999999998,88.10000000000002,0.06973293768545984,0.03798449612403096,0.13113444419082398,0.0975636766334441,2025-12-20 07:22:34.412637
Oxygen Isotopes,17887,0.03,jita,C-J6MT,853.9,908.7,924.0,995.8,1200,34.10000000000002,-20.700000000000045,105.89999999999998,51.09999999999991,0.03831891223733006,-0.021911718005716146,0.1190021350713563,0.05409124589816863,2025-12-20 07:22:34.416704
Hydrogen Isotopes,17889,0.03,jita,C-J6MT,662.0,670.9,611.2,729.4,1200,-86.79999999999995,-95.69999999999993,31.399999999999977,22.5,-0.12435530085959878,-0.13537982741547594,0.044985673352435494,0.03182911302871693,2025-12-20 07:22:34.408810
Helium Isotopes,16274,0.03,jita,C-J6MT,890.1,985.8,801.1,975.0,1200,-125.0,-220.69999999999993,48.89999999999998,-46.799999999999955,-0.13497462477054314,-0.21599138774711288,0.05280207321023645,-0.04580152671755721,2025-12-20 07:22:34.405115
Oxygen,3683,0.19,jita,C-J6MT,340.0,380.0,354.2,396.0,1200,-213.8,-253.8,-172.0,-212.0,-0.37640845070422535,-0.4174342105263158,-0.3028169014084507,-0.34868421052631576,2025-12-20 07:22:34.374647
Liquid Ozone,16273,0.4,jita,C-J6MT,92.17,100.0,78.58,99.92,1200,-493.59,-501.42,-472.24999999999994,-480.08,-0.8626631945051296,-0.8645172413793104,-0.8253665868535575,-0.8277241379310345,2025-12-20 07:22:34.393759
Heavy Water,16272,0.4,jita,C-J6MT,100.4,114.8,13.05,17.8,1200,-567.35,-581.75,-562.6,-577.0,-0.9775155065472089,-0.9780598520511097,-0.9693314955203309,-0.9700739744451917,2025-12-20 07:22:34.397521
Coolant,9832,0.75,jita,C-J6MT,9908.0,10250.0,10470.0,14450.0,1200,-338.0,-680.0,3642.0,3300.0,-0.031273131014063656,-0.06098654708520179,0.33697261287934865,0.29596412556053814,2025-12-20 07:22:34.378526
Enriched Uranium,44,0.75,jita,C-J6MT,9617.0,9889.0,9905.0,10970.0,1200,-612.0,-884.0,453.0,181.0,-0.05819149947703718,-0.0819353044767819,0.043073119710944185,0.01677634627861711,2025-12-20 07:22:34.382425
Mechanical Parts,3689,0.75,jita,C-J6MT,9747.0,10990.0,10030.0,13000.0,1200,-617.0,-1860.0,2353.0,1110.0,-0.057950596412134875,-0.1564339781328848,0.221001221001221,0.09335576114381834,2025-12-20 07:22:34.386331
Nitrogen Fuel Block,4051,5.0,jita,C-J6MT,19990.0,20020.0,22000.0,24780.0,1200,-3990.0,-4020.0,-1210.0,-1240.0,-0.1535205848403232,-0.15449654112221367,-0.046556367833782225,-0.04765564950038432,2025-12-20 07:22:34.428451
Helium Fuel Block,4247,5.0,jita,C-J6MT,18770.0,20670.0,21290.0,24250.0,1200,-3480.0,-5380.0,-520.0,-2420.0,-0.1404925312878482,-0.20172478440194977,-0.020993136859103756,-0.09073865766779153,2025-12-20 07:22:34.420466
Strontium Clathrates,16275,3.0,jita,C-J6MT,3764.0,4145.0,2363.0,2838.0,1200,-5001.0,-5382.0,-4526.0,-4907.0,-0.6791146116241173,-0.6948999354422208,-0.6146116241173275,-0.6335700451904455,2025-12-20 07:22:34.401258
Oxygen Fuel Block,4312,5.0,jita,C-J6MT,19060.0,20500.0,19430.0,24480.0,1200,-5630.0,-7070.0,-580.0,-2020.0,-0.2246608140462889,-0.26679245283018865,-0.02314445331205108,-0.07622641509433963,2025-12-20 07:22:34.432491
Robotics,9848,3.0,jita,C-J6MT,75750.0,78840.0,72050.0,79380.0,1200,-7300.0,-10390.0,30.0,-3060.0,-0.09199747952110901,-0.12603105288694808,0.0003780718336483932,-0.03711790393013101,2025-12-20 07:22:34.390041
Hydrogen Fuel Block,4246,5.0,jita,C-J6MT,18060.0,20090.0,15600.0,17700.0,1200,-8460.0,-10490.0,-6360.0,-8390.0,-0.3516209476309227,-0.40206975852817173,-0.26433915211970077,-0.32157914909927177,2025-12-20 07:22:34.424512
