Item,TypeID,Volume_m3,Region_1,Region_2,Buy1,Sell1,Buy2,Sell2,Fee_per_m3,Profit_1,Profit_2,Profit_3,Profit_4,ROI_1,ROI_2,ROI_3,ROI_4,Timestamp
Robotics,9848,3.0,jita,C-J6MT,73310.0,79720.0,70560.0,78990.0,1200,-6350.0,-12760.0,2080.0,-4330.0,-0.08256403588610063,-0.1531445031204993,0.02704459758158887,-0.051968314930388865,2025-12-15 13:43:48.388441
Enriched Uranium,44,0.75,jita,C-J6MT,9811.0,10350.0,9627.0,10980.0,1200,-1084.0,-1623.0,269.0,-270.0,-0.1012043693399309,-0.14426666666666665,0.025114368406311267,-0.024,2025-12-15 13:43:48.380914
Mechanical Parts,3689,0.75,jita,C-J6MT,9581.0,10200.0,8625.0,10600.0,1200,-1856.0,-2475.0,119.0,-500.0,-0.1770823394714245,-0.22297297297297297,0.0113538784467131,-0.04504504504504504,2025-12-15 13:43:48.384735
Helium Isotopes,16274,0.03,jita,C-J6MT,910.0,994.0,956.1,1057.0,1200,10.100000000000023,-73.89999999999998,111.0,27.0,0.01067653276955605,-0.07174757281553396,0.11733615221987315,0.02621359223300971,2025-12-15 13:43:48.403182
Nitrogen Isotopes,17888,0.03,jita,C-J6MT,854.0,854.1,974.1,997.6,1200,84.10000000000002,84.0,107.60000000000002,107.5,0.09449438202247193,0.09437141894169195,0.12089887640449441,0.12077294685990338,2025-12-15 13:43:48.410562
Oxygen Isotopes,17887,0.03,jita,C-J6MT,923.5,930.5,960.1,1031.0,1200,0.6000000000000227,-6.399999999999977,71.5,64.5,0.0006253256904638069,-0.006621831350232775,0.07451797811360084,0.06673564407656493,2025-12-15 13:43:48.414246
Hydrogen Isotopes,17889,0.03,jita,C-J6MT,695.0,695.1,615.3,736.6,1200,-115.70000000000005,-115.80000000000007,5.600000000000023,5.5,-0.15827633378932976,-0.15839146491588027,0.007660738714090318,0.007522910682533169,2025-12-15 13:43:48.406859
Oxygen,3683,0.19,jita,C-J6MT,328.0,332.6,354.4,537.0,1200,-201.60000000000002,-206.20000000000005,-19.0,-23.600000000000023,-0.362589928057554,-0.3678201926507314,-0.0341726618705036,-0.04209775240813418,2025-12-15 13:43:48.373247
Helium Fuel Block,4247,5.0,jita,C-J6MT,19470.0,20730.0,22120.0,25280.0,1200,-3350.0,-4610.0,-190.0,-1450.0,-0.13152728700431882,-0.1724653946876169,-0.00745975657636435,-0.05424616535727647,2025-12-15 13:43:48.418136
Nitrogen Fuel Block,4051,5.0,jita,C-J6MT,19760.0,19830.0,22090.0,25400.0,1200,-3670.0,-3740.0,-360.0,-430.0,-0.14246894409937888,-0.14479287650019357,-0.013975155279503106,-0.01664730933023616,2025-12-15 13:43:48.425788
Liquid Ozone,16273,0.4,jita,C-J6MT,95.01,111.2,84.67,107.8,1200,-490.34,-506.53000000000003,-467.21,-483.40000000000003,-0.8527503869497921,-0.8567828146143437,-0.812524999565225,-0.81765899864682,2025-12-15 13:43:48.392101
Coolant,9832,0.75,jita,C-J6MT,9760.0,10060.0,9012.0,10120.0,1200,-1648.0,-1948.0,-540.0,-840.0,-0.1545966228893058,-0.17773722627737226,-0.05065666041275797,-0.07664233576642336,2025-12-15 13:43:48.377086
Heavy Water,16272,0.4,jita,C-J6MT,112.0,112.1,12.86,12.87,1200,-579.14,-579.24,-579.13,-579.23,-0.978277027027027,-0.9782806958284074,-0.9782601351351351,-0.9782638067893937,2025-12-15 13:43:48.395713
Oxygen Fuel Block,4312,5.0,jita,C-J6MT,19270.0,19710.0,19420.0,24590.0,1200,-5850.0,-6290.0,-680.0,-1120.0,-0.23149980213692126,-0.24465188642551536,-0.026909378709932725,-0.043562816024893036,2025-12-15 13:43:48.429611
Strontium Clathrates,16275,3.0,jita,C-J6MT,4202.0,4295.0,2400.0,3039.0,1200,-5402.0,-5495.0,-4763.0,-4856.0,-0.6923865675467828,-0.6960101329955668,-0.6104844911561138,-0.6150728309056365,2025-12-15 13:43:48.399468
Hydrogen Fuel Block,4246,5.0,jita,C-J6MT,19260.0,19570.0,14930.0,16010.0,1200,-10330.0,-10640.0,-9250.0,-9560.0,-0.4089469517022961,-0.416112631990614,-0.3661916072842439,-0.37387563551036374,2025-12-15 13:43:48.421969
