Item,TypeID,Volume_m3,Region_1,Region_2,Buy1,Sell1,Buy2,Sell2,Fee_per_m3,Profit_1,Profit_2,Profit_3,Profit_4,ROI_1,ROI_2,ROI_3,ROI_4,Timestamp
Mechanical Parts,3689,0.75,jita,C-J6MT,11190.0,11960.0,12520.0,14940.0,1200,430.0,-340.0,2850.0,2080.0,0.03556658395368073,-0.026438569206842923,0.23573200992555832,0.16174183514774496,2025-11-05 07:23:07.687296
Coolant,9832,0.75,jita,C-J6MT,12350.0,13330.0,12040.0,15000.0,1200,-1210.0,-2190.0,1750.0,770.0,-0.09132075471698113,-0.15390021082220662,0.1320754716981132,0.054111033028812365,2025-11-05 07:23:07.682783
Oxygen Isotopes,17887,0.03,jita,C-J6MT,840.1,904.8,923.0,1066.0,1200,46.89999999999998,-17.799999999999955,189.89999999999998,125.20000000000005,0.053532701746375956,-0.018920068027210836,0.21675607807327926,0.13307823129251706,2025-11-05 07:23:07.704873
Nitrogen Isotopes,17888,0.03,jita,C-J6MT,711.4,787.0,873.4,909.2,1200,126.0,50.39999999999998,161.80000000000007,86.20000000000005,0.1685844260101686,0.06123936816524906,0.21648381054321658,0.1047387606318348,2025-11-05 07:23:07.702677
Helium Isotopes,16274,0.03,jita,C-J6MT,1002.0,1043.0,936.9,1154.0,1200,-101.10000000000002,-142.10000000000002,116.0,75.0,-0.09739884393063586,-0.13169601482854498,0.11175337186897881,0.06950880444856349,2025-11-05 07:23:07.698321
Hydrogen Isotopes,17889,0.03,jita,C-J6MT,699.4,768.7,702.1,811.9,1200,-33.299999999999955,-102.60000000000002,76.5,7.199999999999932,-0.045281479466956695,-0.12750093202435692,0.10402502039706282,0.008947433826270574,2025-11-05 07:23:07.700501
Oxygen,3683,0.19,jita,C-J6MT,346.0,405.9,431.1,507.0,1200,-142.89999999999998,-202.79999999999995,-67.0,-126.89999999999998,-0.24895470383275256,-0.3199242782773308,-0.11672473867595819,-0.20018930430667295,2025-11-05 07:23:07.680537
Enriched Uranium,44,0.75,jita,C-J6MT,12690.0,14330.0,13700.0,14980.0,1200,110.0,-1530.0,1390.0,-250.0,0.008094186902133923,-0.10045961917268549,0.10228108903605593,-0.016414970453053186,2025-11-05 07:23:07.685043
Liquid Ozone,16273,0.4,jita,C-J6MT,127.3,139.2,83.09,116.9,1200,-524.2099999999999,-536.11,-490.4,-502.30000000000007,-0.8631812942532521,-0.8658107235142118,-0.8075086448213403,-0.8112080103359174,2025-11-05 07:23:07.691712
Heavy Water,16272,0.4,jita,C-J6MT,101.2,118.0,23.13,39.95,1200,-558.07,-574.87,-541.25,-558.05,-0.960203028217481,-0.9613210702341137,-0.9312629043358568,-0.9331939799331103,2025-11-05 07:23:07.693919
Nitrogen Fuel Block,4051,5.0,jita,C-J6MT,20510.0,21180.0,21000.0,26500.0,1200,-5510.0,-6180.0,-10.0,-680.0,-0.20784609581290078,-0.22737306843267108,-0.0003772161448509996,-0.025018395879323033,2025-11-05 07:23:07.711462
Oxygen Fuel Block,4312,5.0,jita,C-J6MT,19360.0,21600.0,21760.0,26390.0,1200,-3600.0,-5840.0,1030.0,-1210.0,-0.14195583596214512,-0.21159420289855072,0.04061514195583596,-0.04384057971014493,2025-11-05 07:23:07.713632
Strontium Clathrates,16275,3.0,jita,C-J6MT,4435.0,4997.0,3573.0,4999.0,1200,-4462.0,-5024.0,-3036.0,-3598.0,-0.5553204729309272,-0.5843899034546935,-0.3778469197261979,-0.41851808770501336,2025-11-05 07:23:07.696131
Robotics,9848,3.0,jita,C-J6MT,87030.0,89880.0,83530.0,89800.0,1200,-7100.0,-9950.0,-830.0,-3680.0,-0.07834050535142889,-0.10643988018827556,-0.009158115414321969,-0.03936670945656825,2025-11-05 07:23:07.689516
Helium Fuel Block,4247,5.0,jita,C-J6MT,22880.0,24950.0,17360.0,25550.0,1200,-11520.0,-13590.0,-3330.0,-5400.0,-0.3988919667590028,-0.43909531502423266,-0.11530470914127423,-0.17447495961227788,2025-11-05 07:23:07.707093
Hydrogen Fuel Block,4246,5.0,jita,C-J6MT,19990.0,21070.0,16510.0,19240.0,1200,-9480.0,-10560.0,-6750.0,-7830.0,-0.36475567525971525,-0.3900997414111563,-0.25971527510580994,-0.28925009235315846,2025-11-05 07:23:07.709285
